[START] 'DTD LIVE Table_0816.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0816_mp4_2025-06-27T06:57:38.545Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Status: 얼굴 미검출
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Status: 얼굴 미검출
Time: 22.50s | Status: 얼굴 미검출
Time: 23.00s | Status: 얼굴 미검출
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Status: 얼굴 미검출
Time: 25.50s | Status: 얼굴 미검출
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Status: 얼굴 미검출
Time: 27.00s | Status: 얼굴 미검출
Time: 27.50s | Status: 얼굴 미검출
Time: 28.00s | Status: 얼굴 미검출
Time: 28.50s | Status: 얼굴 미검출
Time: 29.00s | Status: 얼굴 미검출
Time: 29.50s | Status: 얼굴 미검출
Time: 30.00s | Status: 얼굴 미검출
Time: 30.50s | Status: 얼굴 미검출
Time: 31.00s | Status: 얼굴 미검출
Time: 31.50s | Status: 얼굴 미검출
Time: 32.00s | Status: 얼굴 미검출
Time: 32.50s | Score: 135.16 | Status: 선명
Time: 33.00s | Score: 105.68 | Status: 선명
Time: 33.50s | Score: 143.68 | Status: 선명
Time: 34.00s | Score: 147.02 | Status: 선명
Time: 34.50s | Score: 107.92 | Status: 선명
Time: 35.00s | Score: 109.15 | Status: 선명
Time: 35.50s | Score: 79.58 | Status: 선명
Time: 36.00s | Score: 121.32 | Status: 선명
Time: 36.50s | Score: 105.46 | Status: 선명
Time: 37.00s | Score: 110.62 | Status: 선명
Time: 37.50s | Score: 109.10 | Status: 선명
Time: 38.00s | Score: 105.96 | Status: 선명
Time: 38.50s | Score: 104.25 | Status: 선명
Time: 39.00s | Score: 126.10 | Status: 선명
Time: 39.50s | Score: 123.55 | Status: 선명
Time: 40.00s | Score: 84.91 | Status: 선명
Time: 40.50s | Score: 79.74 | Status: 선명
Time: 41.00s | Score: 110.68 | Status: 선명
Time: 41.50s | Score: 105.99 | Status: 선명
Time: 42.00s | Score: 128.31 | Status: 선명
Time: 42.50s | Score: 129.18 | Status: 선명
Time: 43.00s | Score: 143.30 | Status: 선명
Time: 43.50s | Score: 128.69 | Status: 선명
Time: 44.00s | Score: 127.72 | Status: 선명
Time: 44.50s | Score: 73.05 | Status: 선명
Time: 45.00s | Score: 79.25 | Status: 선명
Time: 45.50s | Score: 76.08 | Status: 선명
Time: 46.00s | Score: 76.86 | Status: 선명
Time: 46.50s | Score: 84.75 | Status: 선명
Time: 47.00s | Score: 82.36 | Status: 선명
Time: 47.50s | Score: 83.97 | Status: 선명
Time: 48.00s | Score: 87.99 | Status: 선명
Time: 48.50s | Score: 82.04 | Status: 선명
Time: 49.00s | Score: 76.53 | Status: 선명
Time: 49.50s | Score: 80.03 | Status: 선명
Time: 50.00s | Score: 90.68 | Status: 선명
Time: 50.50s | Score: 97.83 | Status: 선명
Time: 51.00s | Score: 101.07 | Status: 선명
Time: 51.50s | Score: 97.53 | Status: 선명
Time: 52.00s | Score: 91.57 | Status: 선명
Time: 52.50s | Score: 90.94 | Status: 선명
Time: 53.00s | Score: 99.36 | Status: 선명
Time: 53.50s | Score: 101.62 | Status: 선명
Time: 54.00s | Score: 94.18 | Status: 선명
Time: 54.50s | Score: 103.39 | Status: 선명
Time: 55.00s | Score: 99.51 | Status: 선명
Time: 55.50s | Score: 93.02 | Status: 선명
Time: 56.00s | Score: 91.68 | Status: 선명
Time: 56.50s | Score: 86.92 | Status: 선명
Time: 57.00s | Score: 90.14 | Status: 선명
Time: 57.50s | Score: 294.44 | Status: 선명
Time: 58.00s | Score: 104.85 | Status: 선명
Time: 58.50s | Score: 99.35 | Status: 선명
Time: 59.00s | Score: 65.50 | Status: 선명
Time: 59.50s | Score: 77.86 | Status: 선명
Time: 60.00s | Score: 41.52 | Status: 흐림
Time: 60.50s | Status: 얼굴 미검출
Time: 61.00s | Score: 132.64 | Status: 선명
Time: 61.50s | Score: 186.20 | Status: 선명
Time: 62.00s | Score: 100.71 | Status: 선명
