[START] 'DTD LIVE Table_0819.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0819_mp4_2025-06-27T02:36:25.976Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Score: 114.82 | Status: 선명
Time: 14.50s | Score: 111.75 | Status: 선명
Time: 15.00s | Score: 119.76 | Status: 선명
Time: 15.50s | Score: 114.58 | Status: 선명
Time: 16.00s | Score: 118.90 | Status: 선명
Time: 16.50s | Score: 113.55 | Status: 선명
Time: 17.00s | Score: 113.23 | Status: 선명
Time: 17.50s | Score: 87.30 | Status: 선명
Time: 18.00s | Score: 62.86 | Status: 선명
Time: 18.50s | Score: 51.13 | Status: 선명
Time: 19.00s | Score: 60.93 | Status: 선명
Time: 19.50s | Score: 319.17 | Status: 선명
Time: 20.00s | Score: 293.23 | Status: 선명
Time: 20.50s | Score: 65.92 | Status: 선명
Time: 21.00s | Score: 111.64 | Status: 선명
Time: 21.50s | Score: 113.70 | Status: 선명
Time: 22.00s | Score: 106.46 | Status: 선명
Time: 22.50s | Score: 113.57 | Status: 선명
Time: 23.00s | Score: 114.19 | Status: 선명
Time: 23.50s | Score: 33.31 | Status: 흐림
Time: 24.00s | Score: 99.25 | Status: 선명
Time: 24.50s | Score: 111.71 | Status: 선명
Time: 25.00s | Score: 107.33 | Status: 선명
Time: 25.50s | Score: 103.63 | Status: 선명
Time: 26.00s | Score: 99.75 | Status: 선명
Time: 26.50s | Score: 106.78 | Status: 선명
Time: 27.00s | Score: 293.70 | Status: 선명
Time: 27.50s | Score: 185.99 | Status: 선명
Time: 28.00s | Score: 121.76 | Status: 선명
Time: 28.50s | Score: 85.30 | Status: 선명
Time: 29.00s | Score: 118.39 | Status: 선명
Time: 29.50s | Score: 317.80 | Status: 선명
Time: 30.00s | Score: 314.71 | Status: 선명
Time: 30.50s | Score: 135.79 | Status: 선명
Time: 31.00s | Score: 109.01 | Status: 선명
Time: 31.50s | Score: 226.75 | Status: 선명
Time: 32.00s | Score: 157.35 | Status: 선명
Time: 32.50s | Score: 152.49 | Status: 선명
Time: 33.00s | Score: 174.59 | Status: 선명
Time: 33.50s | Score: 161.79 | Status: 선명
Time: 34.00s | Score: 142.36 | Status: 선명
Time: 34.50s | Score: 162.23 | Status: 선명
Time: 35.00s | Score: 153.68 | Status: 선명
Time: 35.50s | Score: 151.47 | Status: 선명
Time: 36.00s | Score: 153.25 | Status: 선명
Time: 36.50s | Score: 164.09 | Status: 선명
Time: 37.00s | Score: 171.03 | Status: 선명
Time: 37.50s | Score: 167.78 | Status: 선명
Time: 38.00s | Score: 171.17 | Status: 선명
Time: 38.50s | Score: 170.29 | Status: 선명
Time: 39.00s | Score: 155.37 | Status: 선명
Time: 39.50s | Score: 165.57 | Status: 선명
Time: 40.00s | Score: 158.41 | Status: 선명
Time: 40.50s | Score: 111.65 | Status: 선명
Time: 41.00s | Score: 183.48 | Status: 선명
Time: 41.50s | Score: 134.50 | Status: 선명
Time: 42.00s | Score: 156.61 | Status: 선명
Time: 42.50s | Score: 159.48 | Status: 선명
Time: 43.00s | Score: 180.01 | Status: 선명
Time: 43.50s | Score: 154.10 | Status: 선명
Time: 44.00s | Score: 161.93 | Status: 선명
Time: 44.50s | Score: 154.01 | Status: 선명
Time: 45.00s | Score: 151.52 | Status: 선명
Time: 45.50s | Score: 166.02 | Status: 선명
Time: 46.00s | Score: 178.00 | Status: 선명
Time: 46.50s | Score: 158.59 | Status: 선명
Time: 47.00s | Score: 112.21 | Status: 선명
Time: 47.50s | Score: 125.69 | Status: 선명
Time: 48.00s | Score: 139.65 | Status: 선명
Time: 48.50s | Score: 103.80 | Status: 선명
Time: 49.00s | Score: 109.70 | Status: 선명
Time: 49.50s | Score: 194.51 | Status: 선명
Time: 50.00s | Score: 181.53 | Status: 선명
Time: 50.50s | Score: 169.69 | Status: 선명
Time: 51.00s | Score: 209.64 | Status: 선명
Time: 51.50s | Score: 174.40 | Status: 선명
Time: 52.00s | Score: 107.34 | Status: 선명
Time: 52.50s | Score: 166.71 | Status: 선명
Time: 53.00s | Score: 160.87 | Status: 선명
Time: 53.50s | Score: 154.29 | Status: 선명
Time: 54.00s | Score: 134.45 | Status: 선명
Time: 54.50s | Score: 136.82 | Status: 선명
Time: 55.00s | Score: 142.24 | Status: 선명
Time: 55.50s | Score: 139.52 | Status: 선명
Time: 56.00s | Score: 142.11 | Status: 선명
Time: 56.50s | Score: 130.74 | Status: 선명
Time: 57.00s | Score: 131.61 | Status: 선명
Time: 57.50s | Score: 215.84 | Status: 선명
Time: 58.00s | Score: 120.88 | Status: 선명
Time: 58.50s | Score: 121.22 | Status: 선명
Time: 59.00s | Score: 139.85 | Status: 선명
Time: 59.50s | Score: 138.09 | Status: 선명
Time: 60.00s | Score: 189.06 | Status: 선명
Time: 60.50s | Score: 87.46 | Status: 선명
Time: 61.00s | Score: 68.35 | Status: 선명
Time: 61.50s | Score: 64.75 | Status: 선명
Time: 62.00s | Score: 93.17 | Status: 선명
Time: 62.50s | Score: 96.77 | Status: 선명
Time: 63.00s | Score: 132.36 | Status: 선명
Time: 63.50s | Score: 135.99 | Status: 선명
Time: 64.00s | Score: 133.72 | Status: 선명
Time: 64.50s | Score: 151.24 | Status: 선명
Time: 65.00s | Score: 137.14 | Status: 선명
Time: 65.50s | Score: 123.31 | Status: 선명
Time: 66.00s | Score: 107.72 | Status: 선명
Time: 66.50s | Score: 123.11 | Status: 선명
Time: 67.00s | Score: 114.55 | Status: 선명
Time: 67.50s | Score: 112.29 | Status: 선명
Time: 68.00s | Score: 121.37 | Status: 선명
Time: 68.50s | Score: 149.41 | Status: 선명
Time: 69.00s | Score: 138.91 | Status: 선명
Time: 69.50s | Score: 125.17 | Status: 선명
Time: 70.00s | Score: 132.65 | Status: 선명
Time: 70.50s | Score: 122.26 | Status: 선명
Time: 71.00s | Score: 242.79 | Status: 선명
Time: 71.50s | Score: 137.66 | Status: 선명
Time: 72.00s | Score: 153.29 | Status: 선명
Time: 72.50s | Score: 138.43 | Status: 선명
Time: 73.00s | Score: 143.45 | Status: 선명
Time: 73.50s | Score: 143.76 | Status: 선명
Time: 74.00s | Score: 150.79 | Status: 선명
Time: 74.50s | Score: 421.00 | Status: 선명
Time: 75.00s | Score: 409.23 | Status: 선명
Time: 75.50s | Score: 463.45 | Status: 선명
Time: 76.00s | Score: 426.36 | Status: 선명
Time: 76.50s | Score: 441.26 | Status: 선명
Time: 77.00s | Score: 279.79 | Status: 선명
Time: 77.50s | Score: 450.88 | Status: 선명
Time: 78.00s | Status: 얼굴 미검출
Time: 78.50s | Status: 얼굴 미검출
Time: 79.00s | Status: 얼굴 미검출
