[START] 'DTD LIVE Table_0830.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0830_mp4_2025-06-27T02:46:55.136Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Score: 128.70 | Status: 선명
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Score: 109.05 | Status: 선명
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Score: 93.31 | Status: 선명
Time: 5.00s | Score: 99.12 | Status: 선명
Time: 5.50s | Score: 145.39 | Status: 선명
Time: 6.00s | Score: 165.87 | Status: 선명
Time: 6.50s | Score: 148.12 | Status: 선명
Time: 7.00s | Score: 171.69 | Status: 선명
Time: 7.50s | Score: 174.84 | Status: 선명
Time: 8.00s | Score: 160.97 | Status: 선명
Time: 8.50s | Score: 151.25 | Status: 선명
Time: 9.00s | Score: 87.04 | Status: 선명
Time: 9.50s | Score: 107.67 | Status: 선명
Time: 10.00s | Score: 164.89 | Status: 선명
Time: 10.50s | Score: 168.35 | Status: 선명
Time: 11.00s | Score: 160.55 | Status: 선명
Time: 11.50s | Score: 158.07 | Status: 선명
Time: 12.00s | Score: 146.75 | Status: 선명
Time: 12.50s | Score: 148.16 | Status: 선명
Time: 13.00s | Score: 154.31 | Status: 선명
Time: 13.50s | Score: 156.48 | Status: 선명
Time: 14.00s | Score: 184.50 | Status: 선명
Time: 14.50s | Score: 163.33 | Status: 선명
Time: 15.00s | Score: 157.48 | Status: 선명
Time: 15.50s | Score: 176.17 | Status: 선명
Time: 16.00s | Score: 184.92 | Status: 선명
Time: 16.50s | Score: 171.14 | Status: 선명
Time: 17.00s | Score: 135.85 | Status: 선명
Time: 17.50s | Score: 126.23 | Status: 선명
Time: 18.00s | Score: 105.02 | Status: 선명
Time: 18.50s | Score: 165.76 | Status: 선명
Time: 19.00s | Score: 165.90 | Status: 선명
Time: 19.50s | Score: 170.24 | Status: 선명
Time: 20.00s | Score: 165.36 | Status: 선명
Time: 20.50s | Score: 163.55 | Status: 선명
Time: 21.00s | Score: 157.37 | Status: 선명
Time: 21.50s | Score: 148.62 | Status: 선명
Time: 22.00s | Score: 152.98 | Status: 선명
Time: 22.50s | Score: 156.17 | Status: 선명
Time: 23.00s | Score: 150.21 | Status: 선명
Time: 23.50s | Score: 138.69 | Status: 선명
Time: 24.00s | Score: 135.82 | Status: 선명
Time: 24.50s | Score: 119.45 | Status: 선명
Time: 25.00s | Score: 109.61 | Status: 선명
Time: 25.50s | Score: 130.81 | Status: 선명
Time: 26.00s | Score: 132.28 | Status: 선명
Time: 26.50s | Score: 135.74 | Status: 선명
Time: 27.00s | Score: 134.26 | Status: 선명
Time: 27.50s | Score: 151.41 | Status: 선명
Time: 28.00s | Score: 157.95 | Status: 선명
Time: 28.50s | Score: 154.43 | Status: 선명
Time: 29.00s | Score: 155.17 | Status: 선명
Time: 29.50s | Score: 160.96 | Status: 선명
Time: 30.00s | Score: 153.04 | Status: 선명
Time: 30.50s | Score: 159.07 | Status: 선명
Time: 31.00s | Score: 166.96 | Status: 선명
Time: 31.50s | Score: 151.85 | Status: 선명
