[START] 'DTD LIVE Table_0841.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0841_mp4_2025-06-27T02:58:52.621Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Score: 151.05 | Status: 선명
Time: 17.00s | Score: 123.94 | Status: 선명
Time: 17.50s | Score: 112.05 | Status: 선명
Time: 18.00s | Score: 134.16 | Status: 선명
Time: 18.50s | Score: 126.50 | Status: 선명
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Score: 270.49 | Status: 선명
Time: 21.00s | Score: 309.99 | Status: 선명
Time: 21.50s | Score: 116.83 | Status: 선명
Time: 22.00s | Score: 147.60 | Status: 선명
Time: 22.50s | Score: 146.28 | Status: 선명
Time: 23.00s | Score: 71.34 | Status: 선명
Time: 23.50s | Score: 60.94 | Status: 선명
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Score: 83.14 | Status: 선명
Time: 25.00s | Score: 130.07 | Status: 선명
Time: 25.50s | Score: 111.10 | Status: 선명
Time: 26.00s | Score: 210.96 | Status: 선명
Time: 26.50s | Score: 90.78 | Status: 선명
Time: 27.00s | Score: 101.08 | Status: 선명
Time: 27.50s | Score: 93.83 | Status: 선명
Time: 28.00s | Score: 98.66 | Status: 선명
Time: 28.50s | Score: 110.20 | Status: 선명
Time: 29.00s | Score: 97.71 | Status: 선명
Time: 29.50s | Score: 113.54 | Status: 선명
Time: 30.00s | Score: 114.04 | Status: 선명
Time: 30.50s | Score: 114.36 | Status: 선명
Time: 31.00s | Score: 103.85 | Status: 선명
Time: 31.50s | Score: 103.97 | Status: 선명
Time: 32.00s | Score: 96.03 | Status: 선명
Time: 32.50s | Score: 101.35 | Status: 선명
Time: 33.00s | Score: 103.50 | Status: 선명
Time: 33.50s | Score: 111.38 | Status: 선명
Time: 34.00s | Score: 109.15 | Status: 선명
Time: 34.50s | Score: 82.34 | Status: 선명
Time: 35.00s | Score: 101.33 | Status: 선명
Time: 35.50s | Score: 105.25 | Status: 선명
Time: 36.00s | Score: 107.72 | Status: 선명
Time: 36.50s | Score: 107.56 | Status: 선명
Time: 37.00s | Score: 105.32 | Status: 선명
Time: 37.50s | Score: 127.41 | Status: 선명
Time: 38.00s | Score: 135.33 | Status: 선명
Time: 38.50s | Score: 145.83 | Status: 선명
Time: 39.00s | Score: 121.41 | Status: 선명
Time: 39.50s | Score: 105.19 | Status: 선명
Time: 40.00s | Score: 124.11 | Status: 선명
Time: 40.50s | Score: 90.50 | Status: 선명
Time: 41.00s | Score: 95.23 | Status: 선명
Time: 41.50s | Score: 182.85 | Status: 선명
Time: 42.00s | Score: 183.47 | Status: 선명
Time: 42.50s | Score: 184.10 | Status: 선명
Time: 43.00s | Score: 175.33 | Status: 선명
Time: 43.50s | Score: 79.29 | Status: 선명
Time: 44.00s | Score: 78.38 | Status: 선명
Time: 44.50s | Score: 186.95 | Status: 선명
Time: 45.00s | Score: 196.06 | Status: 선명
Time: 45.50s | Score: 194.17 | Status: 선명
Time: 46.00s | Score: 153.48 | Status: 선명
Time: 46.50s | Score: 152.39 | Status: 선명
Time: 47.00s | Score: 212.69 | Status: 선명
Time: 47.50s | Score: 228.08 | Status: 선명
Time: 48.00s | Score: 223.08 | Status: 선명
Time: 48.50s | Score: 206.35 | Status: 선명
Time: 49.00s | Score: 229.03 | Status: 선명
Time: 49.50s | Score: 228.34 | Status: 선명
Time: 50.00s | Score: 190.52 | Status: 선명
