[START] 'DTD LIVE Table_0842.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0842_mp4_2025-06-27T03:01:16.875Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Score: 143.31 | Status: 선명
Time: 13.00s | Score: 146.24 | Status: 선명
Time: 13.50s | Score: 151.79 | Status: 선명
Time: 14.00s | Score: 147.56 | Status: 선명
Time: 14.50s | Score: 145.19 | Status: 선명
Time: 15.00s | Score: 150.84 | Status: 선명
Time: 15.50s | Score: 158.27 | Status: 선명
Time: 16.00s | Score: 130.63 | Status: 선명
Time: 16.50s | Score: 143.82 | Status: 선명
Time: 17.00s | Score: 150.04 | Status: 선명
Time: 17.50s | Score: 148.86 | Status: 선명
Time: 18.00s | Score: 140.79 | Status: 선명
Time: 18.50s | Score: 144.74 | Status: 선명
Time: 19.00s | Score: 146.91 | Status: 선명
Time: 19.50s | Score: 145.14 | Status: 선명
Time: 20.00s | Score: 158.85 | Status: 선명
Time: 20.50s | Score: 159.04 | Status: 선명
Time: 21.00s | Score: 162.03 | Status: 선명
Time: 21.50s | Score: 148.24 | Status: 선명
Time: 22.00s | Score: 173.86 | Status: 선명
Time: 22.50s | Score: 166.48 | Status: 선명
Time: 23.00s | Score: 138.49 | Status: 선명
Time: 23.50s | Score: 97.25 | Status: 선명
Time: 24.00s | Score: 121.96 | Status: 선명
Time: 24.50s | Score: 131.10 | Status: 선명
Time: 25.00s | Score: 128.30 | Status: 선명
Time: 25.50s | Score: 136.76 | Status: 선명
Time: 26.00s | Score: 132.10 | Status: 선명
Time: 26.50s | Score: 131.16 | Status: 선명
Time: 27.00s | Score: 130.59 | Status: 선명
Time: 27.50s | Score: 137.32 | Status: 선명
Time: 28.00s | Score: 147.13 | Status: 선명
Time: 28.50s | Score: 142.80 | Status: 선명
Time: 29.00s | Score: 144.97 | Status: 선명
Time: 29.50s | Score: 138.13 | Status: 선명
Time: 30.00s | Score: 134.18 | Status: 선명
Time: 30.50s | Score: 273.02 | Status: 선명
Time: 31.00s | Score: 260.57 | Status: 선명
Time: 31.50s | Score: 66.86 | Status: 선명
Time: 32.00s | Score: 203.79 | Status: 선명
Time: 32.50s | Score: 184.19 | Status: 선명
Time: 33.00s | Score: 190.52 | Status: 선명
Time: 33.50s | Score: 161.97 | Status: 선명
Time: 34.00s | Score: 183.73 | Status: 선명
Time: 34.50s | Score: 81.26 | Status: 선명
Time: 35.00s | Score: 167.19 | Status: 선명
Time: 35.50s | Score: 194.76 | Status: 선명
Time: 36.00s | Score: 225.39 | Status: 선명
Time: 36.50s | Score: 241.24 | Status: 선명
Time: 37.00s | Score: 227.14 | Status: 선명
Time: 37.50s | Score: 231.44 | Status: 선명
Time: 38.00s | Score: 219.65 | Status: 선명
Time: 38.50s | Score: 210.38 | Status: 선명
Time: 39.00s | Score: 232.84 | Status: 선명
Time: 39.50s | Score: 221.12 | Status: 선명
Time: 40.00s | Score: 165.93 | Status: 선명
Time: 40.50s | Score: 160.31 | Status: 선명
Time: 41.00s | Score: 175.95 | Status: 선명
Time: 41.50s | Score: 164.48 | Status: 선명
Time: 42.00s | Score: 180.39 | Status: 선명
Time: 42.50s | Score: 173.69 | Status: 선명
Time: 43.00s | Score: 157.34 | Status: 선명
Time: 43.50s | Score: 201.05 | Status: 선명
Time: 44.00s | Score: 218.54 | Status: 선명
Time: 44.50s | Score: 214.36 | Status: 선명
Time: 45.00s | Score: 216.82 | Status: 선명
Time: 45.50s | Score: 226.89 | Status: 선명
Time: 46.00s | Score: 211.96 | Status: 선명
Time: 46.50s | Score: 223.40 | Status: 선명
Time: 47.00s | Score: 225.11 | Status: 선명
Time: 47.50s | Score: 220.92 | Status: 선명
Time: 48.00s | Score: 220.70 | Status: 선명
Time: 48.50s | Score: 221.97 | Status: 선명
Time: 49.00s | Score: 220.07 | Status: 선명
Time: 49.50s | Score: 211.76 | Status: 선명
Time: 50.00s | Score: 222.39 | Status: 선명
Time: 50.50s | Score: 234.22 | Status: 선명
Time: 51.00s | Score: 223.60 | Status: 선명
Time: 51.50s | Score: 226.58 | Status: 선명
Time: 52.00s | Score: 232.97 | Status: 선명
Time: 52.50s | Score: 235.09 | Status: 선명
Time: 53.00s | Score: 242.86 | Status: 선명
Time: 53.50s | Score: 245.17 | Status: 선명
Time: 54.00s | Score: 241.44 | Status: 선명
Time: 54.50s | Score: 239.99 | Status: 선명
Time: 55.00s | Score: 220.70 | Status: 선명
Time: 55.50s | Score: 229.78 | Status: 선명
Time: 56.00s | Score: 223.96 | Status: 선명
Time: 56.50s | Score: 221.53 | Status: 선명
Time: 57.00s | Score: 216.51 | Status: 선명
Time: 57.50s | Score: 209.77 | Status: 선명
Time: 58.00s | Score: 213.68 | Status: 선명
Time: 58.50s | Score: 125.66 | Status: 선명
Time: 59.00s | Score: 127.19 | Status: 선명
Time: 59.50s | Score: 132.33 | Status: 선명
Time: 60.00s | Score: 137.49 | Status: 선명
Time: 60.50s | Score: 139.41 | Status: 선명
Time: 61.00s | Score: 137.92 | Status: 선명
Time: 61.50s | Score: 117.59 | Status: 선명
Time: 62.00s | Score: 115.66 | Status: 선명
Time: 62.50s | Score: 107.55 | Status: 선명
Time: 63.00s | Score: 89.15 | Status: 선명
Time: 63.50s | Score: 92.15 | Status: 선명
Time: 64.00s | Score: 73.12 | Status: 선명
Time: 64.50s | Score: 64.90 | Status: 선명
Time: 65.00s | Score: 49.56 | Status: 흐림
