[START] 'DTD LIVE Table_0844.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0844_mp4_2025-06-27T03:02:33.008Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Status: 얼굴 미검출
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Status: 얼굴 미검출
Time: 22.50s | Status: 얼굴 미검출
Time: 23.00s | Status: 얼굴 미검출
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Status: 얼굴 미검출
Time: 25.50s | Status: 얼굴 미검출
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Status: 얼굴 미검출
Time: 27.00s | Score: 122.73 | Status: 선명
Time: 27.50s | Score: 156.33 | Status: 선명
Time: 28.00s | Score: 178.14 | Status: 선명
Time: 28.50s | Score: 201.46 | Status: 선명
Time: 29.00s | Score: 96.65 | Status: 선명
Time: 29.50s | Score: 161.03 | Status: 선명
Time: 30.00s | Score: 165.88 | Status: 선명
Time: 30.50s | Score: 93.46 | Status: 선명
Time: 31.00s | Score: 145.36 | Status: 선명
Time: 31.50s | Score: 211.36 | Status: 선명
Time: 32.00s | Score: 153.51 | Status: 선명
Time: 32.50s | Score: 179.43 | Status: 선명
Time: 33.00s | Score: 171.93 | Status: 선명
Time: 33.50s | Score: 166.92 | Status: 선명
Time: 34.00s | Score: 132.77 | Status: 선명
Time: 34.50s | Score: 134.26 | Status: 선명
Time: 35.00s | Score: 190.56 | Status: 선명
Time: 35.50s | Score: 195.68 | Status: 선명
Time: 36.00s | Score: 219.78 | Status: 선명
Time: 36.50s | Score: 73.02 | Status: 선명
Time: 37.00s | Score: 204.50 | Status: 선명
Time: 37.50s | Score: 194.32 | Status: 선명
Time: 38.00s | Score: 197.13 | Status: 선명
Time: 38.50s | Score: 207.50 | Status: 선명
Time: 39.00s | Score: 205.52 | Status: 선명
Time: 39.50s | Score: 219.20 | Status: 선명
Time: 40.00s | Score: 208.53 | Status: 선명
Time: 40.50s | Score: 162.67 | Status: 선명
Time: 41.00s | Score: 151.00 | Status: 선명
Time: 41.50s | Score: 144.23 | Status: 선명
Time: 42.00s | Score: 201.65 | Status: 선명
Time: 42.50s | Score: 96.84 | Status: 선명
Time: 43.00s | Score: 92.26 | Status: 선명
Time: 43.50s | Score: 217.97 | Status: 선명
Time: 44.00s | Score: 223.65 | Status: 선명
Time: 44.50s | Score: 287.99 | Status: 선명
Time: 45.00s | Score: 231.83 | Status: 선명
Time: 45.50s | Score: 125.22 | Status: 선명
Time: 46.00s | Score: 174.23 | Status: 선명
Time: 46.50s | Score: 173.36 | Status: 선명
Time: 47.00s | Score: 172.93 | Status: 선명
Time: 47.50s | Score: 77.72 | Status: 선명
Time: 48.00s | Score: 146.48 | Status: 선명
Time: 48.50s | Score: 89.91 | Status: 선명
Time: 49.00s | Score: 154.79 | Status: 선명
Time: 49.50s | Score: 131.46 | Status: 선명
Time: 50.00s | Score: 172.65 | Status: 선명
Time: 50.50s | Score: 151.06 | Status: 선명
Time: 51.00s | Score: 145.24 | Status: 선명
Time: 51.50s | Score: 169.60 | Status: 선명
