[START] 'DTD LIVE Table_0845.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0845_mp4_2025-06-27T03:05:09.969Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Score: 126.48 | Status: 선명
Time: 16.50s | Score: 334.34 | Status: 선명
Time: 17.00s | Score: 339.70 | Status: 선명
Time: 17.50s | Score: 297.01 | Status: 선명
Time: 18.00s | Score: 280.44 | Status: 선명
Time: 18.50s | Score: 81.02 | Status: 선명
Time: 19.00s | Score: 101.30 | Status: 선명
Time: 19.50s | Score: 101.57 | Status: 선명
Time: 20.00s | Score: 103.27 | Status: 선명
Time: 20.50s | Score: 106.42 | Status: 선명
Time: 21.00s | Score: 104.88 | Status: 선명
Time: 21.50s | Score: 298.13 | Status: 선명
Time: 22.00s | Score: 125.86 | Status: 선명
Time: 22.50s | Score: 119.72 | Status: 선명
Time: 23.00s | Score: 282.81 | Status: 선명
Time: 23.50s | Score: 307.75 | Status: 선명
Time: 24.00s | Score: 320.57 | Status: 선명
Time: 24.50s | Score: 328.03 | Status: 선명
Time: 25.00s | Score: 273.90 | Status: 선명
Time: 25.50s | Score: 280.32 | Status: 선명
Time: 26.00s | Score: 321.02 | Status: 선명
Time: 26.50s | Score: 359.03 | Status: 선명
Time: 27.00s | Score: 326.07 | Status: 선명
Time: 27.50s | Score: 258.65 | Status: 선명
Time: 28.00s | Score: 126.34 | Status: 선명
Time: 28.50s | Score: 272.70 | Status: 선명
Time: 29.00s | Score: 315.78 | Status: 선명
Time: 29.50s | Score: 254.56 | Status: 선명
Time: 30.00s | Score: 8.77 | Status: 흐림
Time: 30.50s | Score: 287.09 | Status: 선명
Time: 31.00s | Score: 8.14 | Status: 흐림
Time: 31.50s | Score: 306.79 | Status: 선명
Time: 32.00s | Score: 196.53 | Status: 선명
Time: 32.50s | Score: 186.49 | Status: 선명
Time: 33.00s | Score: 196.73 | Status: 선명
Time: 33.50s | Score: 188.29 | Status: 선명
Time: 34.00s | Score: 194.17 | Status: 선명
Time: 34.50s | Score: 193.99 | Status: 선명
Time: 35.00s | Score: 196.91 | Status: 선명
Time: 35.50s | Score: 193.25 | Status: 선명
Time: 36.00s | Score: 196.49 | Status: 선명
Time: 36.50s | Score: 202.32 | Status: 선명
Time: 37.00s | Score: 182.45 | Status: 선명
Time: 37.50s | Score: 181.10 | Status: 선명
Time: 38.00s | Score: 188.76 | Status: 선명
Time: 38.50s | Score: 201.89 | Status: 선명
Time: 39.00s | Score: 166.63 | Status: 선명
Time: 39.50s | Score: 181.63 | Status: 선명
Time: 40.00s | Score: 187.19 | Status: 선명
Time: 40.50s | Score: 194.68 | Status: 선명
Time: 41.00s | Score: 183.26 | Status: 선명
Time: 41.50s | Score: 150.01 | Status: 선명
Time: 42.00s | Score: 58.71 | Status: 선명
Time: 42.50s | Score: 93.85 | Status: 선명
Time: 43.00s | Score: 60.92 | Status: 선명
Time: 43.50s | Score: 163.70 | Status: 선명
Time: 44.00s | Score: 139.86 | Status: 선명
Time: 44.50s | Score: 161.68 | Status: 선명
Time: 45.00s | Score: 178.14 | Status: 선명
Time: 45.50s | Score: 132.45 | Status: 선명
Time: 46.00s | Score: 78.99 | Status: 선명
Time: 46.50s | Score: 77.77 | Status: 선명
Time: 47.00s | Score: 89.11 | Status: 선명
Time: 47.50s | Score: 113.75 | Status: 선명
Time: 48.00s | Score: 85.80 | Status: 선명
Time: 48.50s | Score: 60.23 | Status: 선명
Time: 49.00s | Score: 53.73 | Status: 선명
Time: 49.50s | Score: 75.58 | Status: 선명
Time: 50.00s | Score: 77.03 | Status: 선명
Time: 50.50s | Score: 68.24 | Status: 선명
Time: 51.00s | Score: 80.98 | Status: 선명
Time: 51.50s | Score: 73.52 | Status: 선명
Time: 52.00s | Score: 94.82 | Status: 선명
Time: 52.50s | Score: 79.28 | Status: 선명
Time: 53.00s | Score: 80.58 | Status: 선명
Time: 53.50s | Score: 77.54 | Status: 선명
Time: 54.00s | Score: 82.80 | Status: 선명
Time: 54.50s | Score: 88.01 | Status: 선명
Time: 55.00s | Score: 85.72 | Status: 선명
Time: 55.50s | Score: 162.03 | Status: 선명
Time: 56.00s | Score: 164.09 | Status: 선명
Time: 56.50s | Score: 170.58 | Status: 선명
Time: 57.00s | Score: 137.47 | Status: 선명
Time: 57.50s | Score: 148.91 | Status: 선명
Time: 58.00s | Score: 199.19 | Status: 선명
Time: 58.50s | Score: 88.88 | Status: 선명
Time: 59.00s | Score: 133.71 | Status: 선명
Time: 59.50s | Score: 136.85 | Status: 선명
Time: 60.00s | Score: 135.21 | Status: 선명
Time: 60.50s | Score: 147.48 | Status: 선명
Time: 61.00s | Score: 303.23 | Status: 선명
Time: 61.50s | Score: 127.07 | Status: 선명
Time: 62.00s | Score: 68.80 | Status: 선명
Time: 62.50s | Status: 얼굴 미검출
Time: 63.00s | Score: 169.54 | Status: 선명
Time: 63.50s | Score: 187.57 | Status: 선명
Time: 64.00s | Score: 91.28 | Status: 선명
Time: 64.50s | Score: 152.39 | Status: 선명
Time: 65.00s | Score: 154.62 | Status: 선명
Time: 65.50s | Score: 177.50 | Status: 선명
Time: 66.00s | Score: 281.02 | Status: 선명
Time: 66.50s | Score: 175.86 | Status: 선명
Time: 67.00s | Score: 182.11 | Status: 선명
Time: 67.50s | Score: 295.99 | Status: 선명
Time: 68.00s | Score: 226.28 | Status: 선명
Time: 68.50s | Score: 225.62 | Status: 선명
Time: 69.00s | Score: 219.28 | Status: 선명
Time: 69.50s | Score: 157.58 | Status: 선명
Time: 70.00s | Score: 148.73 | Status: 선명
Time: 70.50s | Status: 얼굴 미검출
Time: 71.00s | Status: 얼굴 미검출
Time: 71.50s | Score: 77.00 | Status: 선명
Time: 72.00s | Score: 78.19 | Status: 선명
Time: 72.50s | Score: 78.09 | Status: 선명
Time: 73.00s | Score: 81.03 | Status: 선명
Time: 73.50s | Score: 102.42 | Status: 선명
Time: 74.00s | Score: 63.46 | Status: 선명
Time: 74.50s | Score: 71.92 | Status: 선명
Time: 75.00s | Status: 얼굴 미검출
Time: 75.50s | Status: 얼굴 미검출
Time: 76.00s | Status: 얼굴 미검출
Time: 76.50s | Status: 얼굴 미검출
Time: 77.00s | Score: 71.09 | Status: 선명
Time: 77.50s | Score: 87.36 | Status: 선명
