[START] 'DTD LIVE Table_0852.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0852_mp4_2025-06-27T03:23:14.259Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Score: 96.54 | Status: 선명
Time: 20.00s | Score: 98.52 | Status: 선명
Time: 20.50s | Score: 68.67 | Status: 선명
Time: 21.00s | Score: 45.74 | Status: 흐림
Time: 21.50s | Score: 116.36 | Status: 선명
Time: 22.00s | Score: 128.87 | Status: 선명
Time: 22.50s | Score: 61.12 | Status: 선명
Time: 23.00s | Score: 106.71 | Status: 선명
Time: 23.50s | Score: 56.74 | Status: 선명
Time: 24.00s | Score: 70.25 | Status: 선명
Time: 24.50s | Score: 95.19 | Status: 선명
Time: 25.00s | Score: 117.74 | Status: 선명
Time: 25.50s | Score: 64.56 | Status: 선명
Time: 26.00s | Score: 78.63 | Status: 선명
Time: 26.50s | Score: 83.82 | Status: 선명
Time: 27.00s | Score: 85.27 | Status: 선명
Time: 27.50s | Score: 86.17 | Status: 선명
Time: 28.00s | Score: 195.81 | Status: 선명
Time: 28.50s | Score: 206.12 | Status: 선명
Time: 29.00s | Score: 208.72 | Status: 선명
Time: 29.50s | Score: 209.99 | Status: 선명
Time: 30.00s | Score: 192.90 | Status: 선명
Time: 30.50s | Score: 203.99 | Status: 선명
Time: 31.00s | Score: 232.64 | Status: 선명
Time: 31.50s | Score: 143.09 | Status: 선명
Time: 32.00s | Score: 150.19 | Status: 선명
Time: 32.50s | Score: 209.94 | Status: 선명
Time: 33.00s | Score: 197.07 | Status: 선명
Time: 33.50s | Score: 198.08 | Status: 선명
Time: 34.00s | Score: 188.37 | Status: 선명
Time: 34.50s | Score: 207.42 | Status: 선명
Time: 35.00s | Score: 199.42 | Status: 선명
Time: 35.50s | Score: 201.25 | Status: 선명
Time: 36.00s | Score: 151.68 | Status: 선명
Time: 36.50s | Score: 196.94 | Status: 선명
Time: 37.00s | Score: 171.29 | Status: 선명
Time: 37.50s | Score: 194.61 | Status: 선명
Time: 38.00s | Score: 181.11 | Status: 선명
Time: 38.50s | Score: 185.84 | Status: 선명
Time: 39.00s | Score: 187.36 | Status: 선명
Time: 39.50s | Score: 200.47 | Status: 선명
Time: 40.00s | Score: 189.96 | Status: 선명
Time: 40.50s | Score: 191.60 | Status: 선명
Time: 41.00s | Score: 192.24 | Status: 선명
Time: 41.50s | Score: 197.39 | Status: 선명
Time: 42.00s | Score: 189.84 | Status: 선명
Time: 42.50s | Score: 193.33 | Status: 선명
Time: 43.00s | Score: 171.01 | Status: 선명
Time: 43.50s | Score: 173.93 | Status: 선명
Time: 44.00s | Score: 196.37 | Status: 선명
Time: 44.50s | Score: 164.99 | Status: 선명
Time: 45.00s | Score: 127.82 | Status: 선명
Time: 45.50s | Score: 92.24 | Status: 선명
Time: 46.00s | Score: 130.55 | Status: 선명
Time: 46.50s | Score: 134.85 | Status: 선명
Time: 47.00s | Score: 32.25 | Status: 흐림
Time: 47.50s | Score: 39.36 | Status: 흐림
Time: 48.00s | Score: 49.55 | Status: 흐림
Time: 48.50s | Score: 39.00 | Status: 흐림
Time: 49.00s | Score: 32.82 | Status: 흐림
Time: 49.50s | Score: 32.27 | Status: 흐림
Time: 50.00s | Score: 31.69 | Status: 흐림
Time: 50.50s | Score: 29.11 | Status: 흐림
Time: 51.00s | Score: 28.64 | Status: 흐림
Time: 51.50s | Score: 31.34 | Status: 흐림
Time: 52.00s | Score: 31.34 | Status: 흐림
Time: 52.50s | Score: 34.61 | Status: 흐림
Time: 53.00s | Score: 337.24 | Status: 선명
Time: 53.50s | Score: 103.47 | Status: 선명
Time: 54.00s | Score: 114.59 | Status: 선명
Time: 54.50s | Score: 113.11 | Status: 선명
Time: 55.00s | Score: 145.80 | Status: 선명
Time: 55.50s | Score: 165.99 | Status: 선명
Time: 56.00s | Score: 796.79 | Status: 선명
Time: 56.50s | Score: 876.04 | Status: 선명
Time: 57.00s | Score: 818.35 | Status: 선명
Time: 57.50s | Score: 842.45 | Status: 선명
Time: 58.00s | Score: 883.96 | Status: 선명
Time: 58.50s | Score: 992.27 | Status: 선명
Time: 59.00s | Score: 166.51 | Status: 선명
Time: 59.50s | Score: 147.83 | Status: 선명
Time: 60.00s | Score: 1105.87 | Status: 선명
