[START] 'DTD LIVE Table_0856.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0856_mp4_2025-06-27T03:25:19.247Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Score: 39.09 | Status: 흐림
Time: 2.50s | Score: 53.25 | Status: 선명
Time: 3.00s | Score: 136.36 | Status: 선명
Time: 3.50s | Score: 124.97 | Status: 선명
Time: 4.00s | Score: 168.94 | Status: 선명
Time: 4.50s | Score: 122.79 | Status: 선명
Time: 5.00s | Score: 89.46 | Status: 선명
Time: 5.50s | Score: 158.17 | Status: 선명
Time: 6.00s | Score: 122.88 | Status: 선명
Time: 6.50s | Score: 142.96 | Status: 선명
Time: 7.00s | Score: 141.53 | Status: 선명
Time: 7.50s | Score: 139.07 | Status: 선명
Time: 8.00s | Score: 163.58 | Status: 선명
Time: 8.50s | Score: 160.66 | Status: 선명
Time: 9.00s | Score: 163.04 | Status: 선명
Time: 9.50s | Score: 179.79 | Status: 선명
Time: 10.00s | Score: 131.47 | Status: 선명
Time: 10.50s | Score: 87.19 | Status: 선명
Time: 11.00s | Score: 136.08 | Status: 선명
Time: 11.50s | Score: 110.88 | Status: 선명
Time: 12.00s | Score: 110.51 | Status: 선명
Time: 12.50s | Score: 127.70 | Status: 선명
Time: 13.00s | Score: 153.15 | Status: 선명
Time: 13.50s | Score: 99.11 | Status: 선명
Time: 14.00s | Score: 157.65 | Status: 선명
Time: 14.50s | Score: 150.41 | Status: 선명
Time: 15.00s | Score: 107.88 | Status: 선명
Time: 15.50s | Score: 122.38 | Status: 선명
Time: 16.00s | Score: 133.48 | Status: 선명
Time: 16.50s | Score: 143.69 | Status: 선명
Time: 17.00s | Score: 82.65 | Status: 선명
Time: 17.50s | Score: 155.07 | Status: 선명
Time: 18.00s | Score: 155.96 | Status: 선명
Time: 18.50s | Score: 161.13 | Status: 선명
Time: 19.00s | Score: 164.80 | Status: 선명
Time: 19.50s | Score: 150.36 | Status: 선명
Time: 20.00s | Score: 238.40 | Status: 선명
Time: 20.50s | Score: 176.66 | Status: 선명
Time: 21.00s | Score: 179.86 | Status: 선명
Time: 21.50s | Score: 169.14 | Status: 선명
Time: 22.00s | Score: 181.15 | Status: 선명
Time: 22.50s | Score: 160.03 | Status: 선명
Time: 23.00s | Score: 140.65 | Status: 선명
Time: 23.50s | Score: 101.17 | Status: 선명
Time: 24.00s | Score: 104.46 | Status: 선명
Time: 24.50s | Score: 122.58 | Status: 선명
Time: 25.00s | Score: 121.43 | Status: 선명
Time: 25.50s | Score: 122.39 | Status: 선명
