[START] 'DTD LIVE Table_0858.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0858_mp4_2025-06-27T03:27:35.745Z)
Time: 0.00s | Score: 139.06 | Status: 선명
Time: 0.50s | Score: 185.36 | Status: 선명
Time: 1.00s | Score: 204.00 | Status: 선명
Time: 1.50s | Score: 204.57 | Status: 선명
Time: 2.00s | Score: 190.59 | Status: 선명
Time: 2.50s | Score: 177.83 | Status: 선명
Time: 3.00s | Score: 161.45 | Status: 선명
Time: 3.50s | Score: 214.34 | Status: 선명
Time: 4.00s | Score: 142.51 | Status: 선명
Time: 4.50s | Score: 227.87 | Status: 선명
Time: 5.00s | Score: 207.15 | Status: 선명
Time: 5.50s | Score: 358.29 | Status: 선명
Time: 6.00s | Score: 294.41 | Status: 선명
Time: 6.50s | Score: 280.44 | Status: 선명
Time: 7.00s | Score: 281.41 | Status: 선명
Time: 7.50s | Score: 299.32 | Status: 선명
Time: 8.00s | Score: 232.88 | Status: 선명
Time: 8.50s | Score: 142.65 | Status: 선명
Time: 9.00s | Score: 150.81 | Status: 선명
Time: 9.50s | Score: 153.66 | Status: 선명
Time: 10.00s | Score: 194.06 | Status: 선명
Time: 10.50s | Score: 152.49 | Status: 선명
Time: 11.00s | Score: 146.70 | Status: 선명
Time: 11.50s | Score: 173.55 | Status: 선명
Time: 12.00s | Score: 330.60 | Status: 선명
Time: 12.50s | Score: 304.25 | Status: 선명
Time: 13.00s | Score: 324.44 | Status: 선명
Time: 13.50s | Score: 338.00 | Status: 선명
Time: 14.00s | Score: 325.88 | Status: 선명
Time: 14.50s | Score: 327.34 | Status: 선명
Time: 15.00s | Score: 333.90 | Status: 선명
Time: 15.50s | Score: 334.53 | Status: 선명
Time: 16.00s | Score: 344.97 | Status: 선명
Time: 16.50s | Score: 336.85 | Status: 선명
Time: 17.00s | Score: 346.79 | Status: 선명
Time: 17.50s | Score: 340.07 | Status: 선명
Time: 18.00s | Score: 347.63 | Status: 선명
Time: 18.50s | Score: 344.24 | Status: 선명
Time: 19.00s | Score: 342.39 | Status: 선명
Time: 19.50s | Score: 101.75 | Status: 선명
Time: 20.00s | Score: 97.56 | Status: 선명
Time: 20.50s | Score: 103.57 | Status: 선명
Time: 21.00s | Score: 98.83 | Status: 선명
Time: 21.50s | Score: 95.52 | Status: 선명
Time: 22.00s | Score: 90.29 | Status: 선명
Time: 22.50s | Score: 81.33 | Status: 선명
Time: 23.00s | Score: 84.89 | Status: 선명
Time: 23.50s | Score: 75.31 | Status: 선명
Time: 24.00s | Score: 88.70 | Status: 선명
Time: 24.50s | Score: 118.45 | Status: 선명
Time: 25.00s | Score: 96.41 | Status: 선명
Time: 25.50s | Status: 얼굴 미검출
Time: 26.00s | Score: 95.80 | Status: 선명
Time: 26.50s | Status: 얼굴 미검출
Time: 27.00s | Score: 96.83 | Status: 선명
Time: 27.50s | Score: 95.19 | Status: 선명
Time: 28.00s | Score: 95.22 | Status: 선명
Time: 28.50s | Score: 69.31 | Status: 선명
Time: 29.00s | Score: 110.65 | Status: 선명
Time: 29.50s | Score: 107.55 | Status: 선명
Time: 30.00s | Score: 101.91 | Status: 선명
Time: 30.50s | Score: 641.74 | Status: 선명
Time: 31.00s | Score: 521.18 | Status: 선명
Time: 31.50s | Score: 671.57 | Status: 선명
Time: 32.00s | Score: 666.61 | Status: 선명
Time: 32.50s | Score: 446.89 | Status: 선명
Time: 33.00s | Score: 432.81 | Status: 선명
Time: 33.50s | Score: 567.55 | Status: 선명
Time: 34.00s | Score: 484.63 | Status: 선명
Time: 34.50s | Score: 770.75 | Status: 선명
Time: 35.00s | Score: 814.38 | Status: 선명
Time: 35.50s | Score: 595.32 | Status: 선명
Time: 36.00s | Score: 351.55 | Status: 선명
Time: 36.50s | Score: 250.71 | Status: 선명
Time: 37.00s | Score: 276.33 | Status: 선명
Time: 37.50s | Score: 303.15 | Status: 선명
Time: 38.00s | Score: 310.74 | Status: 선명
Time: 38.50s | Score: 315.37 | Status: 선명
Time: 39.00s | Score: 309.80 | Status: 선명
Time: 39.50s | Score: 340.83 | Status: 선명
Time: 40.00s | Score: 250.56 | Status: 선명
Time: 40.50s | Score: 275.19 | Status: 선명
Time: 41.00s | Score: 204.10 | Status: 선명
Time: 41.50s | Score: 174.16 | Status: 선명
Time: 42.00s | Score: 205.28 | Status: 선명
Time: 42.50s | Score: 257.15 | Status: 선명
Time: 43.00s | Score: 274.77 | Status: 선명
Time: 43.50s | Score: 154.96 | Status: 선명
