[START] 'DTD LIVE Table_0871.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0871_mp4_2025-06-27T03:44:33.708Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Score: 117.93 | Status: 선명
Time: 7.00s | Score: 115.15 | Status: 선명
Time: 7.50s | Score: 133.55 | Status: 선명
Time: 8.00s | Score: 120.14 | Status: 선명
Time: 8.50s | Score: 128.87 | Status: 선명
Time: 9.00s | Score: 111.04 | Status: 선명
Time: 9.50s | Score: 116.55 | Status: 선명
Time: 10.00s | Score: 117.01 | Status: 선명
Time: 10.50s | Score: 110.14 | Status: 선명
Time: 11.00s | Score: 130.65 | Status: 선명
Time: 11.50s | Score: 135.35 | Status: 선명
Time: 12.00s | Score: 137.11 | Status: 선명
Time: 12.50s | Score: 138.30 | Status: 선명
Time: 13.00s | Score: 135.60 | Status: 선명
Time: 13.50s | Score: 121.25 | Status: 선명
Time: 14.00s | Score: 131.98 | Status: 선명
Time: 14.50s | Score: 140.08 | Status: 선명
Time: 15.00s | Score: 137.27 | Status: 선명
Time: 15.50s | Score: 147.48 | Status: 선명
Time: 16.00s | Score: 142.66 | Status: 선명
Time: 16.50s | Score: 146.36 | Status: 선명
Time: 17.00s | Score: 124.86 | Status: 선명
Time: 17.50s | Score: 137.41 | Status: 선명
Time: 18.00s | Score: 132.62 | Status: 선명
Time: 18.50s | Score: 136.46 | Status: 선명
Time: 19.00s | Score: 141.75 | Status: 선명
Time: 19.50s | Score: 138.41 | Status: 선명
Time: 20.00s | Score: 131.01 | Status: 선명
Time: 20.50s | Score: 127.06 | Status: 선명
Time: 21.00s | Score: 116.05 | Status: 선명
Time: 21.50s | Score: 129.17 | Status: 선명
Time: 22.00s | Score: 128.11 | Status: 선명
Time: 22.50s | Score: 131.79 | Status: 선명
Time: 23.00s | Score: 111.15 | Status: 선명
Time: 23.50s | Score: 432.07 | Status: 선명
Time: 24.00s | Score: 125.72 | Status: 선명
Time: 24.50s | Score: 125.74 | Status: 선명
Time: 25.00s | Score: 98.42 | Status: 선명
Time: 25.50s | Score: 337.07 | Status: 선명
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Score: 310.65 | Status: 선명
Time: 27.00s | Score: 337.51 | Status: 선명
Time: 27.50s | Score: 313.35 | Status: 선명
Time: 28.00s | Score: 319.94 | Status: 선명
Time: 28.50s | Score: 291.61 | Status: 선명
Time: 29.00s | Score: 291.13 | Status: 선명
Time: 29.50s | Score: 246.28 | Status: 선명
Time: 30.00s | Score: 263.88 | Status: 선명
Time: 30.50s | Score: 250.82 | Status: 선명
Time: 31.00s | Score: 274.13 | Status: 선명
Time: 31.50s | Score: 381.05 | Status: 선명
Time: 32.00s | Score: 434.45 | Status: 선명
Time: 32.50s | Score: 405.14 | Status: 선명
Time: 33.00s | Score: 464.76 | Status: 선명
Time: 33.50s | Score: 421.51 | Status: 선명
Time: 34.00s | Score: 456.38 | Status: 선명
Time: 34.50s | Score: 427.28 | Status: 선명
Time: 35.00s | Score: 417.57 | Status: 선명
Time: 35.50s | Score: 360.98 | Status: 선명
Time: 36.00s | Score: 386.33 | Status: 선명
Time: 36.50s | Score: 410.07 | Status: 선명
Time: 37.00s | Score: 366.45 | Status: 선명
Time: 37.50s | Score: 401.25 | Status: 선명
Time: 38.00s | Score: 415.16 | Status: 선명
Time: 38.50s | Score: 366.60 | Status: 선명
Time: 39.00s | Score: 364.75 | Status: 선명
Time: 39.50s | Score: 370.92 | Status: 선명
Time: 40.00s | Score: 383.50 | Status: 선명
Time: 40.50s | Score: 407.63 | Status: 선명
Time: 41.00s | Score: 374.45 | Status: 선명
Time: 41.50s | Score: 363.36 | Status: 선명
Time: 42.00s | Score: 381.30 | Status: 선명
Time: 42.50s | Score: 393.99 | Status: 선명
Time: 43.00s | Score: 392.75 | Status: 선명
Time: 43.50s | Score: 402.05 | Status: 선명
Time: 44.00s | Score: 398.77 | Status: 선명
Time: 44.50s | Score: 367.39 | Status: 선명
Time: 45.00s | Score: 354.17 | Status: 선명
Time: 45.50s | Score: 359.84 | Status: 선명
Time: 46.00s | Score: 334.75 | Status: 선명
Time: 46.50s | Score: 26.48 | Status: 흐림
Time: 47.00s | Score: 157.66 | Status: 선명
Time: 47.50s | Score: 29.01 | Status: 흐림
Time: 48.00s | Score: 123.55 | Status: 선명
Time: 48.50s | Score: 67.03 | Status: 선명
Time: 49.00s | Score: 117.85 | Status: 선명
Time: 49.50s | Score: 168.00 | Status: 선명
Time: 50.00s | Score: 154.33 | Status: 선명
Time: 50.50s | Score: 151.77 | Status: 선명
Time: 51.00s | Score: 151.87 | Status: 선명
Time: 51.50s | Score: 155.61 | Status: 선명
Time: 52.00s | Score: 156.73 | Status: 선명
Time: 52.50s | Score: 148.73 | Status: 선명
Time: 53.00s | Score: 153.74 | Status: 선명
Time: 53.50s | Score: 154.32 | Status: 선명
Time: 54.00s | Status: 얼굴 미검출
Time: 54.50s | Score: 76.95 | Status: 선명
