[START] 'DTD LIVE Table_0874.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0874_mp4_2025-06-27T03:46:51.906Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Score: 169.83 | Status: 선명
Time: 5.50s | Score: 190.58 | Status: 선명
Time: 6.00s | Score: 202.21 | Status: 선명
Time: 6.50s | Score: 213.36 | Status: 선명
Time: 7.00s | Score: 222.13 | Status: 선명
Time: 7.50s | Score: 224.17 | Status: 선명
Time: 8.00s | Score: 207.27 | Status: 선명
Time: 8.50s | Score: 222.76 | Status: 선명
Time: 9.00s | Score: 210.03 | Status: 선명
Time: 9.50s | Score: 217.50 | Status: 선명
Time: 10.00s | Score: 197.56 | Status: 선명
Time: 10.50s | Score: 181.09 | Status: 선명
Time: 11.00s | Score: 203.12 | Status: 선명
Time: 11.50s | Score: 195.40 | Status: 선명
Time: 12.00s | Score: 183.95 | Status: 선명
Time: 12.50s | Score: 137.60 | Status: 선명
Time: 13.00s | Score: 178.22 | Status: 선명
Time: 13.50s | Score: 128.20 | Status: 선명
Time: 14.00s | Score: 140.68 | Status: 선명
Time: 14.50s | Score: 133.35 | Status: 선명
Time: 15.00s | Score: 127.56 | Status: 선명
Time: 15.50s | Score: 124.82 | Status: 선명
Time: 16.00s | Score: 125.95 | Status: 선명
Time: 16.50s | Score: 114.07 | Status: 선명
Time: 17.00s | Score: 115.38 | Status: 선명
Time: 17.50s | Score: 138.29 | Status: 선명
Time: 18.00s | Score: 226.44 | Status: 선명
Time: 18.50s | Score: 171.52 | Status: 선명
Time: 19.00s | Score: 211.32 | Status: 선명
Time: 19.50s | Score: 175.88 | Status: 선명
Time: 20.00s | Score: 167.40 | Status: 선명
Time: 20.50s | Score: 134.39 | Status: 선명
Time: 21.00s | Score: 110.65 | Status: 선명
Time: 21.50s | Score: 89.63 | Status: 선명
Time: 22.00s | Score: 108.79 | Status: 선명
Time: 22.50s | Score: 105.16 | Status: 선명
Time: 23.00s | Score: 110.42 | Status: 선명
Time: 23.50s | Score: 94.73 | Status: 선명
Time: 24.00s | Score: 96.59 | Status: 선명
Time: 24.50s | Score: 98.95 | Status: 선명
Time: 25.00s | Score: 127.02 | Status: 선명
Time: 25.50s | Score: 141.71 | Status: 선명
Time: 26.00s | Score: 125.85 | Status: 선명
Time: 26.50s | Score: 164.97 | Status: 선명
Time: 27.00s | Score: 125.15 | Status: 선명
Time: 27.50s | Score: 194.32 | Status: 선명
Time: 28.00s | Score: 140.05 | Status: 선명
Time: 28.50s | Score: 132.60 | Status: 선명
Time: 29.00s | Score: 133.12 | Status: 선명
Time: 29.50s | Score: 154.55 | Status: 선명
Time: 30.00s | Score: 156.89 | Status: 선명
Time: 30.50s | Score: 125.18 | Status: 선명
Time: 31.00s | Score: 133.91 | Status: 선명
Time: 31.50s | Score: 133.31 | Status: 선명
Time: 32.00s | Score: 132.98 | Status: 선명
Time: 32.50s | Score: 132.40 | Status: 선명
Time: 33.00s | Score: 120.40 | Status: 선명
Time: 33.50s | Score: 130.32 | Status: 선명
Time: 34.00s | Score: 129.20 | Status: 선명
Time: 34.50s | Score: 130.32 | Status: 선명
Time: 35.00s | Score: 136.85 | Status: 선명
Time: 35.50s | Score: 142.90 | Status: 선명
Time: 36.00s | Score: 136.03 | Status: 선명
Time: 36.50s | Score: 138.49 | Status: 선명
Time: 37.00s | Score: 133.72 | Status: 선명
Time: 37.50s | Score: 121.10 | Status: 선명
Time: 38.00s | Score: 119.33 | Status: 선명
Time: 38.50s | Score: 129.72 | Status: 선명
Time: 39.00s | Score: 133.02 | Status: 선명
Time: 39.50s | Score: 132.32 | Status: 선명
Time: 40.00s | Score: 133.84 | Status: 선명
Time: 40.50s | Score: 127.82 | Status: 선명
Time: 41.00s | Score: 118.43 | Status: 선명
Time: 41.50s | Score: 131.12 | Status: 선명
Time: 42.00s | Score: 134.51 | Status: 선명
Time: 42.50s | Score: 128.33 | Status: 선명
Time: 43.00s | Score: 122.95 | Status: 선명
Time: 43.50s | Score: 127.25 | Status: 선명
Time: 44.00s | Score: 132.59 | Status: 선명
Time: 44.50s | Score: 121.31 | Status: 선명
Time: 45.00s | Score: 118.73 | Status: 선명
Time: 45.50s | Score: 123.31 | Status: 선명
Time: 46.00s | Score: 117.09 | Status: 선명
Time: 46.50s | Score: 86.21 | Status: 선명
Time: 47.00s | Score: 112.36 | Status: 선명
Time: 47.50s | Score: 119.00 | Status: 선명
Time: 48.00s | Score: 135.85 | Status: 선명
Time: 48.50s | Score: 136.13 | Status: 선명
Time: 49.00s | Score: 155.46 | Status: 선명
Time: 49.50s | Score: 149.19 | Status: 선명
Time: 50.00s | Score: 145.51 | Status: 선명
Time: 50.50s | Score: 144.01 | Status: 선명
Time: 51.00s | Score: 155.96 | Status: 선명
Time: 51.50s | Score: 150.97 | Status: 선명
Time: 52.00s | Score: 116.69 | Status: 선명
Time: 52.50s | Score: 108.13 | Status: 선명
Time: 53.00s | Score: 140.94 | Status: 선명
Time: 53.50s | Status: 얼굴 미검출
Time: 54.00s | Status: 얼굴 미검출
Time: 54.50s | Score: 106.30 | Status: 선명
Time: 55.00s | Score: 107.99 | Status: 선명
Time: 55.50s | Score: 305.85 | Status: 선명
Time: 56.00s | Score: 334.66 | Status: 선명
Time: 56.50s | Score: 314.29 | Status: 선명
Time: 57.00s | Score: 333.28 | Status: 선명
Time: 57.50s | Score: 281.71 | Status: 선명
Time: 58.00s | Score: 320.24 | Status: 선명
Time: 58.50s | Score: 292.34 | Status: 선명
Time: 59.00s | Score: 198.27 | Status: 선명
Time: 59.50s | Status: 얼굴 미검출
Time: 60.00s | Score: 94.43 | Status: 선명
Time: 60.50s | Score: 91.85 | Status: 선명
Time: 61.00s | Score: 87.56 | Status: 선명
Time: 61.50s | Score: 112.28 | Status: 선명
Time: 62.00s | Score: 94.70 | Status: 선명
Time: 62.50s | Score: 98.13 | Status: 선명
Time: 63.00s | Score: 80.25 | Status: 선명
Time: 63.50s | Score: 24.81 | Status: 흐림
Time: 64.00s | Score: 56.36 | Status: 선명
Time: 64.50s | Score: 210.71 | Status: 선명
Time: 65.00s | Score: 210.33 | Status: 선명
Time: 65.50s | Score: 317.66 | Status: 선명
Time: 66.00s | Score: 296.07 | Status: 선명
Time: 66.50s | Score: 295.57 | Status: 선명
Time: 67.00s | Score: 276.22 | Status: 선명
Time: 67.50s | Score: 289.67 | Status: 선명
Time: 68.00s | Score: 294.40 | Status: 선명
Time: 68.50s | Score: 297.17 | Status: 선명
Time: 69.00s | Score: 322.06 | Status: 선명
Time: 69.50s | Score: 244.19 | Status: 선명
Time: 70.00s | Score: 273.29 | Status: 선명
Time: 70.50s | Score: 281.12 | Status: 선명
Time: 71.00s | Score: 274.12 | Status: 선명
Time: 71.50s | Score: 304.56 | Status: 선명
Time: 72.00s | Score: 286.58 | Status: 선명
Time: 72.50s | Score: 343.46 | Status: 선명
Time: 73.00s | Score: 328.86 | Status: 선명
Time: 73.50s | Score: 319.99 | Status: 선명
Time: 74.00s | Score: 360.40 | Status: 선명
Time: 74.50s | Score: 345.60 | Status: 선명
