[START] 'DTD LIVE Table_0882.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0882_mp4_2025-06-27T04:06:51.311Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Status: 얼굴 미검출
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Status: 얼굴 미검출
Time: 22.50s | Status: 얼굴 미검출
Time: 23.00s | Status: 얼굴 미검출
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Status: 얼굴 미검출
Time: 25.50s | Status: 얼굴 미검출
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Status: 얼굴 미검출
Time: 27.00s | Status: 얼굴 미검출
Time: 27.50s | Score: 393.37 | Status: 선명
Time: 28.00s | Score: 463.98 | Status: 선명
Time: 28.50s | Score: 494.90 | Status: 선명
Time: 29.00s | Score: 483.22 | Status: 선명
Time: 29.50s | Score: 494.17 | Status: 선명
Time: 30.00s | Score: 416.46 | Status: 선명
Time: 30.50s | Score: 386.49 | Status: 선명
Time: 31.00s | Score: 370.54 | Status: 선명
Time: 31.50s | Score: 288.28 | Status: 선명
Time: 32.00s | Score: 331.06 | Status: 선명
Time: 32.50s | Score: 414.42 | Status: 선명
Time: 33.00s | Score: 349.42 | Status: 선명
Time: 33.50s | Score: 403.60 | Status: 선명
Time: 34.00s | Score: 345.77 | Status: 선명
Time: 34.50s | Score: 392.40 | Status: 선명
Time: 35.00s | Score: 391.99 | Status: 선명
Time: 35.50s | Score: 416.22 | Status: 선명
Time: 36.00s | Score: 444.84 | Status: 선명
Time: 36.50s | Score: 387.73 | Status: 선명
Time: 37.00s | Score: 359.14 | Status: 선명
Time: 37.50s | Score: 418.04 | Status: 선명
Time: 38.00s | Score: 177.68 | Status: 선명
Time: 38.50s | Score: 152.11 | Status: 선명
Time: 39.00s | Score: 109.43 | Status: 선명
Time: 39.50s | Score: 150.43 | Status: 선명
Time: 40.00s | Score: 149.47 | Status: 선명
Time: 40.50s | Score: 94.70 | Status: 선명
Time: 41.00s | Score: 100.35 | Status: 선명
Time: 41.50s | Score: 86.01 | Status: 선명
Time: 42.00s | Score: 130.78 | Status: 선명
Time: 42.50s | Score: 141.88 | Status: 선명
Time: 43.00s | Score: 105.21 | Status: 선명
Time: 43.50s | Score: 223.18 | Status: 선명
Time: 44.00s | Score: 225.48 | Status: 선명
Time: 44.50s | Status: 얼굴 미검출
Time: 45.00s | Score: 62.88 | Status: 선명
Time: 45.50s | Score: 86.98 | Status: 선명
Time: 46.00s | Score: 61.13 | Status: 선명
Time: 46.50s | Score: 214.53 | Status: 선명
Time: 47.00s | Score: 220.98 | Status: 선명
Time: 47.50s | Score: 156.89 | Status: 선명
Time: 48.00s | Score: 122.66 | Status: 선명
Time: 48.50s | Score: 143.24 | Status: 선명
Time: 49.00s | Score: 146.50 | Status: 선명
Time: 49.50s | Score: 144.05 | Status: 선명
Time: 50.00s | Score: 148.24 | Status: 선명
Time: 50.50s | Score: 143.99 | Status: 선명
Time: 51.00s | Score: 139.21 | Status: 선명
Time: 51.50s | Score: 142.10 | Status: 선명
Time: 52.00s | Score: 138.68 | Status: 선명
Time: 52.50s | Score: 92.86 | Status: 선명
