[START] 'DTD LIVE Table_0889.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0889_mp4_2025-06-27T04:15:21.344Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Score: 202.70 | Status: 선명
Time: 20.50s | Score: 208.01 | Status: 선명
Time: 21.00s | Score: 162.56 | Status: 선명
Time: 21.50s | Score: 160.30 | Status: 선명
Time: 22.00s | Score: 168.99 | Status: 선명
Time: 22.50s | Score: 142.54 | Status: 선명
Time: 23.00s | Score: 152.41 | Status: 선명
Time: 23.50s | Score: 246.32 | Status: 선명
Time: 24.00s | Score: 204.98 | Status: 선명
Time: 24.50s | Score: 218.01 | Status: 선명
Time: 25.00s | Score: 232.55 | Status: 선명
Time: 25.50s | Score: 204.47 | Status: 선명
Time: 26.00s | Score: 208.69 | Status: 선명
Time: 26.50s | Score: 170.10 | Status: 선명
Time: 27.00s | Score: 170.17 | Status: 선명
Time: 27.50s | Score: 90.92 | Status: 선명
Time: 28.00s | Score: 161.57 | Status: 선명
Time: 28.50s | Score: 114.77 | Status: 선명
Time: 29.00s | Status: 얼굴 미검출
Time: 29.50s | Score: 241.34 | Status: 선명
Time: 30.00s | Score: 229.08 | Status: 선명
Time: 30.50s | Score: 187.64 | Status: 선명
Time: 31.00s | Score: 200.65 | Status: 선명
Time: 31.50s | Score: 180.50 | Status: 선명
Time: 32.00s | Score: 174.47 | Status: 선명
Time: 32.50s | Score: 171.84 | Status: 선명
Time: 33.00s | Score: 172.74 | Status: 선명
Time: 33.50s | Score: 164.68 | Status: 선명
Time: 34.00s | Score: 174.71 | Status: 선명
Time: 34.50s | Score: 184.07 | Status: 선명
Time: 35.00s | Score: 182.17 | Status: 선명
Time: 35.50s | Score: 127.66 | Status: 선명
Time: 36.00s | Score: 34.01 | Status: 흐림
Time: 36.50s | Score: 39.02 | Status: 흐림
Time: 37.00s | Status: 얼굴 미검출
Time: 37.50s | Score: 136.08 | Status: 선명
Time: 38.00s | Score: 133.57 | Status: 선명
Time: 38.50s | Score: 324.11 | Status: 선명
