[START] 'DTD LIVE Table_0893_다시.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0893____mp4_2025-06-27T04:25:06.149Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Status: 얼굴 미검출
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Status: 얼굴 미검출
Time: 22.50s | Status: 얼굴 미검출
Time: 23.00s | Status: 얼굴 미검출
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Score: 186.38 | Status: 선명
Time: 25.50s | Score: 188.55 | Status: 선명
Time: 26.00s | Score: 205.47 | Status: 선명
Time: 26.50s | Score: 215.07 | Status: 선명
Time: 27.00s | Score: 216.59 | Status: 선명
Time: 27.50s | Score: 179.90 | Status: 선명
Time: 28.00s | Score: 162.47 | Status: 선명
Time: 28.50s | Score: 141.14 | Status: 선명
Time: 29.00s | Score: 153.21 | Status: 선명
Time: 29.50s | Score: 182.03 | Status: 선명
Time: 30.00s | Status: 얼굴 미검출
Time: 30.50s | Status: 얼굴 미검출
Time: 31.00s | Score: 1005.83 | Status: 선명
Time: 31.50s | Score: 732.43 | Status: 선명
Time: 32.00s | Score: 865.84 | Status: 선명
Time: 32.50s | Score: 633.09 | Status: 선명
Time: 33.00s | Score: 715.99 | Status: 선명
Time: 33.50s | Score: 931.27 | Status: 선명
Time: 34.00s | Score: 936.37 | Status: 선명
Time: 34.50s | Score: 290.23 | Status: 선명
Time: 35.00s | Score: 339.13 | Status: 선명
Time: 35.50s | Score: 333.67 | Status: 선명
Time: 36.00s | Score: 315.99 | Status: 선명
Time: 36.50s | Score: 246.75 | Status: 선명
Time: 37.00s | Score: 240.14 | Status: 선명
Time: 37.50s | Score: 268.68 | Status: 선명
Time: 38.00s | Score: 169.42 | Status: 선명
Time: 38.50s | Score: 316.72 | Status: 선명
Time: 39.00s | Score: 262.69 | Status: 선명
Time: 39.50s | Score: 205.93 | Status: 선명
Time: 40.00s | Score: 229.30 | Status: 선명
Time: 40.50s | Score: 239.40 | Status: 선명
Time: 41.00s | Score: 221.65 | Status: 선명
Time: 41.50s | Score: 148.29 | Status: 선명
Time: 42.00s | Score: 170.15 | Status: 선명
Time: 42.50s | Score: 217.58 | Status: 선명
Time: 43.00s | Score: 201.32 | Status: 선명
Time: 43.50s | Score: 186.48 | Status: 선명
Time: 44.00s | Score: 192.20 | Status: 선명
Time: 44.50s | Score: 249.55 | Status: 선명
Time: 45.00s | Score: 240.82 | Status: 선명
Time: 45.50s | Score: 238.30 | Status: 선명
Time: 46.00s | Score: 195.26 | Status: 선명
Time: 46.50s | Score: 262.41 | Status: 선명
Time: 47.00s | Score: 253.01 | Status: 선명
Time: 47.50s | Score: 244.56 | Status: 선명
Time: 48.00s | Score: 249.10 | Status: 선명
Time: 48.50s | Score: 241.78 | Status: 선명
Time: 49.00s | Score: 234.37 | Status: 선명
Time: 49.50s | Score: 236.37 | Status: 선명
Time: 50.00s | Score: 245.17 | Status: 선명
Time: 50.50s | Score: 232.75 | Status: 선명
Time: 51.00s | Score: 242.16 | Status: 선명
Time: 51.50s | Score: 222.01 | Status: 선명
Time: 52.00s | Score: 250.67 | Status: 선명
Time: 52.50s | Score: 247.39 | Status: 선명
Time: 53.00s | Score: 152.78 | Status: 선명
Time: 53.50s | Score: 181.44 | Status: 선명
Time: 54.00s | Score: 179.66 | Status: 선명
Time: 54.50s | Score: 178.58 | Status: 선명
Time: 55.00s | Score: 145.30 | Status: 선명
Time: 55.50s | Score: 194.82 | Status: 선명
Time: 56.00s | Score: 176.53 | Status: 선명
Time: 56.50s | Score: 192.69 | Status: 선명
Time: 57.00s | Score: 172.63 | Status: 선명
Time: 57.50s | Score: 187.01 | Status: 선명
Time: 58.00s | Score: 197.00 | Status: 선명
Time: 58.50s | Score: 188.35 | Status: 선명
Time: 59.00s | Score: 166.59 | Status: 선명
Time: 59.50s | Score: 153.94 | Status: 선명
Time: 60.00s | Score: 183.94 | Status: 선명
Time: 60.50s | Score: 126.50 | Status: 선명
Time: 61.00s | Score: 138.91 | Status: 선명
Time: 61.50s | Score: 134.50 | Status: 선명
Time: 62.00s | Score: 154.23 | Status: 선명
Time: 62.50s | Score: 135.07 | Status: 선명
Time: 63.00s | Score: 229.34 | Status: 선명
Time: 63.50s | Score: 185.34 | Status: 선명
Time: 64.00s | Score: 173.78 | Status: 선명
Time: 64.50s | Score: 171.04 | Status: 선명
Time: 65.00s | Score: 196.67 | Status: 선명
Time: 65.50s | Score: 203.69 | Status: 선명
Time: 66.00s | Score: 188.56 | Status: 선명
Time: 66.50s | Score: 166.73 | Status: 선명
Time: 67.00s | Score: 171.02 | Status: 선명
Time: 67.50s | Score: 177.19 | Status: 선명
Time: 68.00s | Score: 177.39 | Status: 선명
Time: 68.50s | Score: 252.70 | Status: 선명
Time: 69.00s | Score: 272.47 | Status: 선명
Time: 69.50s | Score: 262.61 | Status: 선명
Time: 70.00s | Score: 261.95 | Status: 선명
Time: 70.50s | Score: 270.93 | Status: 선명
Time: 71.00s | Score: 259.02 | Status: 선명
Time: 71.50s | Score: 255.68 | Status: 선명
Time: 72.00s | Score: 264.16 | Status: 선명
Time: 72.50s | Score: 256.63 | Status: 선명
Time: 73.00s | Score: 270.55 | Status: 선명
Time: 73.50s | Score: 263.70 | Status: 선명
Time: 74.00s | Score: 248.28 | Status: 선명
Time: 74.50s | Score: 256.89 | Status: 선명
Time: 75.00s | Score: 260.16 | Status: 선명
Time: 75.50s | Score: 259.14 | Status: 선명
Time: 76.00s | Score: 251.10 | Status: 선명
Time: 76.50s | Score: 227.02 | Status: 선명
Time: 77.00s | Score: 231.42 | Status: 선명
Time: 77.50s | Score: 251.14 | Status: 선명
Time: 78.00s | Score: 249.73 | Status: 선명
Time: 78.50s | Score: 246.60 | Status: 선명
Time: 79.00s | Score: 209.34 | Status: 선명
Time: 79.50s | Score: 250.34 | Status: 선명
Time: 80.00s | Score: 260.33 | Status: 선명
Time: 80.50s | Status: 얼굴 미검출
Time: 81.00s | Score: 282.61 | Status: 선명
Time: 81.50s | Score: 264.12 | Status: 선명
Time: 82.00s | Score: 246.68 | Status: 선명
Time: 82.50s | Score: 211.34 | Status: 선명
Time: 83.00s | Score: 218.74 | Status: 선명
Time: 83.50s | Score: 205.55 | Status: 선명
Time: 84.00s | Score: 255.48 | Status: 선명
Time: 84.50s | Score: 249.71 | Status: 선명
Time: 85.00s | Score: 180.33 | Status: 선명
Time: 85.50s | Score: 147.88 | Status: 선명
Time: 86.00s | Score: 187.86 | Status: 선명
Time: 86.50s | Score: 212.95 | Status: 선명
Time: 87.00s | Score: 246.74 | Status: 선명
Time: 87.50s | Score: 182.60 | Status: 선명
Time: 88.00s | Status: 얼굴 미검출
Time: 88.50s | Status: 얼굴 미검출
Time: 89.00s | Status: 얼굴 미검출
Time: 89.50s | Status: 얼굴 미검출
Time: 90.00s | Status: 얼굴 미검출
Time: 90.50s | Status: 얼굴 미검출
Time: 91.00s | Status: 얼굴 미검출
Time: 91.50s | Status: 얼굴 미검출
Time: 92.00s | Status: 얼굴 미검출
Time: 92.50s | Score: 253.61 | Status: 선명
Time: 93.00s | Score: 243.83 | Status: 선명
Time: 93.50s | Score: 269.85 | Status: 선명
Time: 94.00s | Score: 266.53 | Status: 선명
Time: 94.50s | Score: 272.37 | Status: 선명
Time: 95.00s | Score: 278.21 | Status: 선명
Time: 95.50s | Score: 277.80 | Status: 선명
Time: 96.00s | Score: 265.84 | Status: 선명
Time: 96.50s | Score: 404.77 | Status: 선명
Time: 97.00s | Score: 435.62 | Status: 선명
Time: 97.50s | Score: 419.69 | Status: 선명
Time: 98.00s | Score: 430.90 | Status: 선명
Time: 98.50s | Score: 425.39 | Status: 선명
Time: 99.00s | Score: 423.04 | Status: 선명
Time: 99.50s | Score: 427.73 | Status: 선명
