[START] 'DTD LIVE Table_0898.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0898_mp4_2025-06-27T04:36:12.348Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Score: 144.04 | Status: 선명
Time: 18.50s | Score: 149.85 | Status: 선명
Time: 19.00s | Score: 154.49 | Status: 선명
Time: 19.50s | Score: 159.27 | Status: 선명
Time: 20.00s | Score: 156.35 | Status: 선명
Time: 20.50s | Score: 166.79 | Status: 선명
Time: 21.00s | Score: 141.40 | Status: 선명
Time: 21.50s | Score: 153.57 | Status: 선명
Time: 22.00s | Score: 163.77 | Status: 선명
Time: 22.50s | Score: 154.18 | Status: 선명
Time: 23.00s | Score: 169.64 | Status: 선명
Time: 23.50s | Score: 178.57 | Status: 선명
Time: 24.00s | Score: 150.90 | Status: 선명
Time: 24.50s | Score: 139.60 | Status: 선명
Time: 25.00s | Score: 152.17 | Status: 선명
Time: 25.50s | Score: 143.79 | Status: 선명
Time: 26.00s | Score: 119.35 | Status: 선명
Time: 26.50s | Score: 95.94 | Status: 선명
Time: 27.00s | Score: 110.84 | Status: 선명
Time: 27.50s | Score: 117.09 | Status: 선명
Time: 28.00s | Score: 112.40 | Status: 선명
Time: 28.50s | Score: 120.74 | Status: 선명
Time: 29.00s | Score: 140.29 | Status: 선명
Time: 29.50s | Score: 168.37 | Status: 선명
Time: 30.00s | Score: 183.46 | Status: 선명
Time: 30.50s | Score: 161.52 | Status: 선명
Time: 31.00s | Score: 169.65 | Status: 선명
Time: 31.50s | Score: 151.64 | Status: 선명
Time: 32.00s | Score: 147.39 | Status: 선명
Time: 32.50s | Score: 159.23 | Status: 선명
Time: 33.00s | Score: 155.28 | Status: 선명
Time: 33.50s | Score: 166.78 | Status: 선명
Time: 34.00s | Score: 185.63 | Status: 선명
Time: 34.50s | Score: 187.25 | Status: 선명
Time: 35.00s | Score: 151.99 | Status: 선명
Time: 35.50s | Score: 172.41 | Status: 선명
Time: 36.00s | Score: 147.18 | Status: 선명
Time: 36.50s | Score: 134.13 | Status: 선명
Time: 37.00s | Score: 163.11 | Status: 선명
Time: 37.50s | Score: 102.91 | Status: 선명
Time: 38.00s | Score: 160.84 | Status: 선명
Time: 38.50s | Score: 146.90 | Status: 선명
Time: 39.00s | Score: 161.24 | Status: 선명
Time: 39.50s | Score: 160.11 | Status: 선명
Time: 40.00s | Score: 139.82 | Status: 선명
Time: 40.50s | Score: 155.70 | Status: 선명
Time: 41.00s | Score: 148.37 | Status: 선명
Time: 41.50s | Score: 181.33 | Status: 선명
Time: 42.00s | Score: 196.56 | Status: 선명
Time: 42.50s | Score: 166.87 | Status: 선명
Time: 43.00s | Score: 179.95 | Status: 선명
Time: 43.50s | Score: 183.88 | Status: 선명
Time: 44.00s | Score: 200.76 | Status: 선명
Time: 44.50s | Score: 200.97 | Status: 선명
Time: 45.00s | Score: 199.19 | Status: 선명
Time: 45.50s | Score: 198.65 | Status: 선명
Time: 46.00s | Score: 206.67 | Status: 선명
Time: 46.50s | Score: 192.71 | Status: 선명
Time: 47.00s | Score: 201.14 | Status: 선명
Time: 47.50s | Score: 195.05 | Status: 선명
Time: 48.00s | Score: 198.77 | Status: 선명
Time: 48.50s | Score: 199.96 | Status: 선명
Time: 49.00s | Score: 198.92 | Status: 선명
Time: 49.50s | Score: 191.46 | Status: 선명
Time: 50.00s | Score: 177.72 | Status: 선명
Time: 50.50s | Score: 192.08 | Status: 선명
Time: 51.00s | Score: 198.46 | Status: 선명
Time: 51.50s | Score: 146.89 | Status: 선명
Time: 52.00s | Score: 157.20 | Status: 선명
Time: 52.50s | Score: 162.17 | Status: 선명
Time: 53.00s | Score: 157.40 | Status: 선명
Time: 53.50s | Score: 148.87 | Status: 선명
Time: 54.00s | Score: 161.36 | Status: 선명
Time: 54.50s | Score: 171.45 | Status: 선명
Time: 55.00s | Score: 162.36 | Status: 선명
Time: 55.50s | Score: 153.66 | Status: 선명
Time: 56.00s | Score: 499.46 | Status: 선명
Time: 56.50s | Score: 511.47 | Status: 선명
Time: 57.00s | Score: 54.51 | Status: 선명
Time: 57.50s | Score: 241.80 | Status: 선명
Time: 58.00s | Score: 164.45 | Status: 선명
Time: 58.50s | Score: 173.93 | Status: 선명
Time: 59.00s | Score: 163.78 | Status: 선명
Time: 59.50s | Score: 267.54 | Status: 선명
Time: 60.00s | Score: 244.94 | Status: 선명
Time: 60.50s | Score: 191.88 | Status: 선명
Time: 61.00s | Score: 202.19 | Status: 선명
Time: 61.50s | Score: 194.27 | Status: 선명
Time: 62.00s | Score: 192.73 | Status: 선명
Time: 62.50s | Score: 133.70 | Status: 선명
Time: 63.00s | Score: 150.86 | Status: 선명
Time: 63.50s | Score: 141.82 | Status: 선명
Time: 64.00s | Score: 145.22 | Status: 선명
Time: 64.50s | Score: 156.19 | Status: 선명
Time: 65.00s | Score: 129.89 | Status: 선명
