[START] 'DTD LIVE Table_0903.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0903_mp4_2025-06-27T04:37:59.923Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Score: 131.15 | Status: 선명
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Score: 279.94 | Status: 선명
Time: 22.00s | Score: 132.36 | Status: 선명
Time: 22.50s | Score: 47.05 | Status: 흐림
Time: 23.00s | Score: 79.21 | Status: 선명
Time: 23.50s | Score: 84.13 | Status: 선명
Time: 24.00s | Score: 110.05 | Status: 선명
Time: 24.50s | Score: 121.72 | Status: 선명
Time: 25.00s | Score: 132.42 | Status: 선명
Time: 25.50s | Score: 286.14 | Status: 선명
Time: 26.00s | Score: 322.51 | Status: 선명
Time: 26.50s | Score: 322.84 | Status: 선명
Time: 27.00s | Score: 349.06 | Status: 선명
Time: 27.50s | Score: 304.38 | Status: 선명
Time: 28.00s | Score: 322.25 | Status: 선명
Time: 28.50s | Score: 326.59 | Status: 선명
Time: 29.00s | Score: 333.52 | Status: 선명
Time: 29.50s | Score: 305.03 | Status: 선명
Time: 30.00s | Score: 336.70 | Status: 선명
Time: 30.50s | Score: 360.57 | Status: 선명
Time: 31.00s | Score: 380.31 | Status: 선명
Time: 31.50s | Score: 351.98 | Status: 선명
Time: 32.00s | Score: 400.95 | Status: 선명
Time: 32.50s | Score: 422.45 | Status: 선명
Time: 33.00s | Score: 426.76 | Status: 선명
Time: 33.50s | Score: 427.72 | Status: 선명
Time: 34.00s | Score: 401.56 | Status: 선명
Time: 34.50s | Score: 321.04 | Status: 선명
Time: 35.00s | Score: 347.99 | Status: 선명
Time: 35.50s | Score: 287.65 | Status: 선명
Time: 36.00s | Score: 333.04 | Status: 선명
Time: 36.50s | Score: 463.89 | Status: 선명
Time: 37.00s | Score: 385.09 | Status: 선명
Time: 37.50s | Score: 353.97 | Status: 선명
Time: 38.00s | Score: 388.55 | Status: 선명
Time: 38.50s | Score: 442.41 | Status: 선명
Time: 39.00s | Score: 382.85 | Status: 선명
Time: 39.50s | Score: 374.08 | Status: 선명
Time: 40.00s | Score: 388.76 | Status: 선명
Time: 40.50s | Score: 415.12 | Status: 선명
Time: 41.00s | Score: 388.07 | Status: 선명
Time: 41.50s | Score: 427.78 | Status: 선명
Time: 42.00s | Score: 415.52 | Status: 선명
Time: 42.50s | Score: 441.29 | Status: 선명
Time: 43.00s | Score: 461.55 | Status: 선명
Time: 43.50s | Score: 315.14 | Status: 선명
Time: 44.00s | Score: 347.78 | Status: 선명
Time: 44.50s | Score: 391.40 | Status: 선명
Time: 45.00s | Score: 391.10 | Status: 선명
Time: 45.50s | Score: 397.11 | Status: 선명
Time: 46.00s | Score: 295.66 | Status: 선명
Time: 46.50s | Score: 196.89 | Status: 선명
Time: 47.00s | Score: 229.73 | Status: 선명
Time: 47.50s | Score: 260.30 | Status: 선명
Time: 48.00s | Score: 249.92 | Status: 선명
Time: 48.50s | Score: 239.12 | Status: 선명
Time: 49.00s | Score: 120.12 | Status: 선명
Time: 49.50s | Score: 129.59 | Status: 선명
Time: 50.00s | Score: 99.08 | Status: 선명
Time: 50.50s | Score: 101.99 | Status: 선명
Time: 51.00s | Score: 122.02 | Status: 선명
Time: 51.50s | Score: 135.44 | Status: 선명
Time: 52.00s | Score: 134.71 | Status: 선명
