[START] 'DTD LIVE Table_0904.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0904_mp4_2025-06-27T04:40:07.543Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Score: 359.27 | Status: 선명
Time: 9.00s | Score: 381.32 | Status: 선명
Time: 9.50s | Score: 376.10 | Status: 선명
Time: 10.00s | Score: 414.14 | Status: 선명
Time: 10.50s | Score: 383.75 | Status: 선명
Time: 11.00s | Score: 390.89 | Status: 선명
Time: 11.50s | Score: 386.08 | Status: 선명
Time: 12.00s | Score: 410.63 | Status: 선명
Time: 12.50s | Score: 381.71 | Status: 선명
Time: 13.00s | Score: 404.19 | Status: 선명
Time: 13.50s | Score: 406.70 | Status: 선명
Time: 14.00s | Score: 376.17 | Status: 선명
Time: 14.50s | Score: 354.88 | Status: 선명
Time: 15.00s | Score: 296.75 | Status: 선명
Time: 15.50s | Score: 348.86 | Status: 선명
Time: 16.00s | Score: 136.15 | Status: 선명
Time: 16.50s | Score: 194.47 | Status: 선명
Time: 17.00s | Score: 174.63 | Status: 선명
Time: 17.50s | Score: 116.47 | Status: 선명
Time: 18.00s | Score: 113.35 | Status: 선명
Time: 18.50s | Score: 99.44 | Status: 선명
Time: 19.00s | Score: 101.25 | Status: 선명
Time: 19.50s | Score: 114.01 | Status: 선명
Time: 20.00s | Score: 126.26 | Status: 선명
Time: 20.50s | Score: 122.13 | Status: 선명
Time: 21.00s | Score: 116.47 | Status: 선명
Time: 21.50s | Score: 130.15 | Status: 선명
Time: 22.00s | Score: 159.12 | Status: 선명
Time: 22.50s | Score: 230.94 | Status: 선명
Time: 23.00s | Score: 160.19 | Status: 선명
Time: 23.50s | Score: 166.58 | Status: 선명
Time: 24.00s | Score: 151.28 | Status: 선명
Time: 24.50s | Score: 161.27 | Status: 선명
Time: 25.00s | Score: 154.94 | Status: 선명
Time: 25.50s | Score: 116.29 | Status: 선명
Time: 26.00s | Score: 75.15 | Status: 선명
Time: 26.50s | Score: 82.54 | Status: 선명
Time: 27.00s | Score: 95.88 | Status: 선명
Time: 27.50s | Score: 73.18 | Status: 선명
Time: 28.00s | Score: 75.50 | Status: 선명
Time: 28.50s | Score: 203.88 | Status: 선명
Time: 29.00s | Score: 217.70 | Status: 선명
Time: 29.50s | Score: 168.32 | Status: 선명
Time: 30.00s | Score: 171.43 | Status: 선명
Time: 30.50s | Score: 154.67 | Status: 선명
Time: 31.00s | Score: 160.65 | Status: 선명
Time: 31.50s | Score: 136.41 | Status: 선명
Time: 32.00s | Score: 114.30 | Status: 선명
Time: 32.50s | Score: 197.74 | Status: 선명
Time: 33.00s | Score: 190.09 | Status: 선명
Time: 33.50s | Score: 195.72 | Status: 선명
Time: 34.00s | Score: 196.82 | Status: 선명
Time: 34.50s | Score: 191.81 | Status: 선명
Time: 35.00s | Score: 181.12 | Status: 선명
Time: 35.50s | Score: 171.73 | Status: 선명
Time: 36.00s | Score: 161.96 | Status: 선명
Time: 36.50s | Score: 164.22 | Status: 선명
Time: 37.00s | Score: 158.89 | Status: 선명
Time: 37.50s | Score: 150.98 | Status: 선명
Time: 38.00s | Score: 193.64 | Status: 선명
Time: 38.50s | Score: 220.37 | Status: 선명
Time: 39.00s | Score: 214.51 | Status: 선명
Time: 39.50s | Score: 221.95 | Status: 선명
Time: 40.00s | Score: 214.88 | Status: 선명
Time: 40.50s | Score: 214.41 | Status: 선명
Time: 41.00s | Score: 206.43 | Status: 선명
Time: 41.50s | Score: 214.15 | Status: 선명
Time: 42.00s | Score: 238.26 | Status: 선명
Time: 42.50s | Score: 197.14 | Status: 선명
Time: 43.00s | Score: 196.89 | Status: 선명
Time: 43.50s | Score: 210.02 | Status: 선명
Time: 44.00s | Score: 209.68 | Status: 선명
Time: 44.50s | Score: 149.97 | Status: 선명
Time: 45.00s | Score: 136.59 | Status: 선명
Time: 45.50s | Score: 137.31 | Status: 선명
Time: 46.00s | Score: 137.38 | Status: 선명
Time: 46.50s | Score: 103.05 | Status: 선명
Time: 47.00s | Score: 101.18 | Status: 선명
Time: 47.50s | Score: 115.86 | Status: 선명
Time: 48.00s | Score: 118.90 | Status: 선명
Time: 48.50s | Score: 114.77 | Status: 선명
Time: 49.00s | Score: 113.78 | Status: 선명
Time: 49.50s | Score: 115.44 | Status: 선명
Time: 50.00s | Score: 159.57 | Status: 선명
Time: 50.50s | Score: 204.53 | Status: 선명
Time: 51.00s | Score: 206.58 | Status: 선명
Time: 51.50s | Score: 180.67 | Status: 선명
Time: 52.00s | Score: 166.24 | Status: 선명
Time: 52.50s | Score: 171.02 | Status: 선명
Time: 53.00s | Score: 132.02 | Status: 선명
Time: 53.50s | Score: 151.38 | Status: 선명
Time: 54.00s | Status: 얼굴 미검출
Time: 54.50s | Status: 얼굴 미검출
Time: 55.00s | Score: 221.10 | Status: 선명
Time: 55.50s | Score: 185.11 | Status: 선명
Time: 56.00s | Score: 180.15 | Status: 선명
Time: 56.50s | Score: 166.57 | Status: 선명
Time: 57.00s | Score: 170.47 | Status: 선명
Time: 57.50s | Score: 245.80 | Status: 선명
Time: 58.00s | Score: 162.44 | Status: 선명
Time: 58.50s | Score: 160.92 | Status: 선명
Time: 59.00s | Score: 213.13 | Status: 선명
Time: 59.50s | Score: 217.14 | Status: 선명
Time: 60.00s | Score: 192.66 | Status: 선명
Time: 60.50s | Score: 165.11 | Status: 선명
Time: 61.00s | Score: 216.69 | Status: 선명
Time: 61.50s | Score: 154.94 | Status: 선명
Time: 62.00s | Score: 173.90 | Status: 선명
Time: 62.50s | Score: 201.07 | Status: 선명
Time: 63.00s | Score: 192.95 | Status: 선명
Time: 63.50s | Score: 220.45 | Status: 선명
Time: 64.00s | Score: 240.17 | Status: 선명
Time: 64.50s | Score: 240.18 | Status: 선명
Time: 65.00s | Score: 212.65 | Status: 선명
Time: 65.50s | Score: 241.87 | Status: 선명
Time: 66.00s | Score: 214.64 | Status: 선명
Time: 66.50s | Score: 241.08 | Status: 선명
Time: 67.00s | Score: 232.99 | Status: 선명
Time: 67.50s | Score: 220.14 | Status: 선명
Time: 68.00s | Score: 206.52 | Status: 선명
Time: 68.50s | Score: 210.19 | Status: 선명
Time: 69.00s | Score: 206.72 | Status: 선명
Time: 69.50s | Score: 204.48 | Status: 선명
Time: 70.00s | Score: 197.04 | Status: 선명
Time: 70.50s | Score: 192.12 | Status: 선명
Time: 71.00s | Score: 214.51 | Status: 선명
Time: 71.50s | Score: 201.02 | Status: 선명
Time: 72.00s | Score: 203.00 | Status: 선명
Time: 72.50s | Score: 149.11 | Status: 선명
Time: 73.00s | Score: 133.46 | Status: 선명
Time: 73.50s | Score: 141.45 | Status: 선명
Time: 74.00s | Score: 239.56 | Status: 선명
Time: 74.50s | Score: 525.30 | Status: 선명
Time: 75.00s | Score: 582.06 | Status: 선명
Time: 75.50s | Score: 293.78 | Status: 선명
Time: 76.00s | Score: 496.30 | Status: 선명
Time: 76.50s | Score: 557.96 | Status: 선명
Time: 77.00s | Score: 720.20 | Status: 선명
Time: 77.50s | Score: 799.31 | Status: 선명
Time: 78.00s | Score: 784.76 | Status: 선명
Time: 78.50s | Score: 853.04 | Status: 선명
Time: 79.00s | Score: 240.62 | Status: 선명
Time: 79.50s | Score: 672.46 | Status: 선명
Time: 80.00s | Score: 444.17 | Status: 선명
Time: 80.50s | Score: 708.17 | Status: 선명
Time: 81.00s | Score: 684.66 | Status: 선명
Time: 81.50s | Score: 790.76 | Status: 선명
Time: 82.00s | Score: 796.69 | Status: 선명
Time: 82.50s | Score: 682.14 | Status: 선명
Time: 83.00s | Score: 632.56 | Status: 선명
Time: 83.50s | Score: 238.61 | Status: 선명
Time: 84.00s | Score: 231.67 | Status: 선명
Time: 84.50s | Score: 236.23 | Status: 선명
Time: 85.00s | Score: 250.25 | Status: 선명
Time: 85.50s | Score: 232.96 | Status: 선명
Time: 86.00s | Score: 236.79 | Status: 선명
Time: 86.50s | Score: 222.65 | Status: 선명
Time: 87.00s | Score: 226.07 | Status: 선명
Time: 87.50s | Score: 228.59 | Status: 선명
Time: 88.00s | Score: 250.23 | Status: 선명
Time: 88.50s | Score: 199.29 | Status: 선명
Time: 89.00s | Score: 157.98 | Status: 선명
Time: 89.50s | Score: 254.56 | Status: 선명
Time: 90.00s | Score: 203.02 | Status: 선명
Time: 90.50s | Score: 257.85 | Status: 선명
Time: 91.00s | Score: 258.91 | Status: 선명
Time: 91.50s | Score: 244.86 | Status: 선명
Time: 92.00s | Score: 261.20 | Status: 선명
Time: 92.50s | Score: 251.43 | Status: 선명
Time: 93.00s | Score: 159.07 | Status: 선명
Time: 93.50s | Score: 193.82 | Status: 선명
Time: 94.00s | Score: 161.62 | Status: 선명
Time: 94.50s | Score: 241.38 | Status: 선명
Time: 95.00s | Score: 232.35 | Status: 선명
Time: 95.50s | Score: 225.21 | Status: 선명
Time: 96.00s | Score: 129.24 | Status: 선명
Time: 96.50s | Score: 195.63 | Status: 선명
Time: 97.00s | Score: 169.88 | Status: 선명
Time: 97.50s | Score: 114.91 | Status: 선명
Time: 98.00s | Score: 77.51 | Status: 선명
Time: 98.50s | Score: 102.05 | Status: 선명
Time: 99.00s | Score: 109.56 | Status: 선명
Time: 99.50s | Score: 66.76 | Status: 선명
Time: 100.00s | Score: 175.09 | Status: 선명
Time: 100.50s | Score: 140.37 | Status: 선명
Time: 101.00s | Status: 얼굴 미검출
Time: 101.50s | Score: 181.49 | Status: 선명
Time: 102.00s | Score: 79.75 | Status: 선명
Time: 102.50s | Score: 194.36 | Status: 선명
Time: 103.00s | Score: 118.96 | Status: 선명
Time: 103.50s | Score: 140.89 | Status: 선명
Time: 104.00s | Score: 163.88 | Status: 선명
Time: 104.50s | Score: 173.54 | Status: 선명
Time: 105.00s | Score: 161.74 | Status: 선명
Time: 105.50s | Score: 174.44 | Status: 선명
Time: 106.00s | Score: 173.23 | Status: 선명
Time: 106.50s | Score: 175.13 | Status: 선명
Time: 107.00s | Score: 188.52 | Status: 선명
Time: 107.50s | Score: 200.08 | Status: 선명
Time: 108.00s | Score: 182.96 | Status: 선명
Time: 108.50s | Score: 114.77 | Status: 선명
Time: 109.00s | Score: 167.00 | Status: 선명
Time: 109.50s | Score: 579.30 | Status: 선명
Time: 110.00s | Score: 209.42 | Status: 선명
Time: 110.50s | Score: 219.02 | Status: 선명
Time: 111.00s | Score: 215.85 | Status: 선명
Time: 111.50s | Score: 182.75 | Status: 선명
Time: 112.00s | Score: 78.33 | Status: 선명
Time: 112.50s | Status: 얼굴 미검출
Time: 113.00s | Status: 얼굴 미검출
Time: 113.50s | Score: 145.91 | Status: 선명
Time: 114.00s | Score: 156.64 | Status: 선명
Time: 114.50s | Score: 244.43 | Status: 선명
Time: 115.00s | Score: 86.98 | Status: 선명
Time: 115.50s | Score: 51.85 | Status: 선명
Time: 116.00s | Score: 92.83 | Status: 선명
Time: 116.50s | Score: 206.60 | Status: 선명
Time: 117.00s | Score: 193.93 | Status: 선명
Time: 117.50s | Score: 191.08 | Status: 선명
Time: 118.00s | Score: 226.74 | Status: 선명
Time: 118.50s | Score: 222.60 | Status: 선명
Time: 119.00s | Score: 217.44 | Status: 선명
