[START] 'DTD LIVE Table_0906.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0906_mp4_2025-06-27T04:41:40.237Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Score: 130.06 | Status: 선명
Time: 8.50s | Score: 117.36 | Status: 선명
Time: 9.00s | Score: 123.22 | Status: 선명
Time: 9.50s | Score: 114.16 | Status: 선명
Time: 10.00s | Score: 141.75 | Status: 선명
Time: 10.50s | Score: 181.40 | Status: 선명
Time: 11.00s | Score: 170.94 | Status: 선명
Time: 11.50s | Score: 178.18 | Status: 선명
Time: 12.00s | Score: 169.14 | Status: 선명
Time: 12.50s | Score: 184.53 | Status: 선명
Time: 13.00s | Score: 168.85 | Status: 선명
Time: 13.50s | Score: 131.08 | Status: 선명
Time: 14.00s | Score: 133.39 | Status: 선명
Time: 14.50s | Score: 131.69 | Status: 선명
Time: 15.00s | Score: 96.87 | Status: 선명
Time: 15.50s | Score: 140.02 | Status: 선명
Time: 16.00s | Score: 96.61 | Status: 선명
Time: 16.50s | Score: 102.24 | Status: 선명
Time: 17.00s | Score: 101.99 | Status: 선명
Time: 17.50s | Score: 108.91 | Status: 선명
Time: 18.00s | Score: 109.62 | Status: 선명
Time: 18.50s | Score: 126.14 | Status: 선명
Time: 19.00s | Score: 117.46 | Status: 선명
Time: 19.50s | Score: 106.66 | Status: 선명
Time: 20.00s | Score: 106.00 | Status: 선명
Time: 20.50s | Score: 105.35 | Status: 선명
Time: 21.00s | Score: 103.52 | Status: 선명
Time: 21.50s | Score: 109.51 | Status: 선명
Time: 22.00s | Score: 99.62 | Status: 선명
Time: 22.50s | Score: 106.16 | Status: 선명
Time: 23.00s | Score: 103.80 | Status: 선명
Time: 23.50s | Score: 99.34 | Status: 선명
Time: 24.00s | Score: 88.45 | Status: 선명
Time: 24.50s | Score: 105.01 | Status: 선명
Time: 25.00s | Score: 109.20 | Status: 선명
Time: 25.50s | Score: 92.20 | Status: 선명
Time: 26.00s | Score: 100.83 | Status: 선명
Time: 26.50s | Score: 106.88 | Status: 선명
Time: 27.00s | Score: 109.84 | Status: 선명
Time: 27.50s | Score: 100.11 | Status: 선명
Time: 28.00s | Score: 112.46 | Status: 선명
Time: 28.50s | Score: 97.21 | Status: 선명
Time: 29.00s | Score: 110.99 | Status: 선명
Time: 29.50s | Score: 102.80 | Status: 선명
Time: 30.00s | Score: 109.41 | Status: 선명
Time: 30.50s | Score: 88.31 | Status: 선명
Time: 31.00s | Score: 147.29 | Status: 선명
Time: 31.50s | Score: 106.49 | Status: 선명
Time: 32.00s | Score: 74.55 | Status: 선명
Time: 32.50s | Score: 71.36 | Status: 선명
Time: 33.00s | Score: 73.01 | Status: 선명
Time: 33.50s | Score: 72.66 | Status: 선명
Time: 34.00s | Score: 82.14 | Status: 선명
Time: 34.50s | Score: 85.90 | Status: 선명
Time: 35.00s | Score: 118.87 | Status: 선명
Time: 35.50s | Score: 112.08 | Status: 선명
Time: 36.00s | Score: 111.43 | Status: 선명
Time: 36.50s | Score: 111.05 | Status: 선명
Time: 37.00s | Score: 92.91 | Status: 선명
Time: 37.50s | Score: 98.45 | Status: 선명
Time: 38.00s | Score: 100.00 | Status: 선명
Time: 38.50s | Score: 100.01 | Status: 선명
Time: 39.00s | Score: 101.66 | Status: 선명
Time: 39.50s | Score: 96.10 | Status: 선명
Time: 40.00s | Score: 116.40 | Status: 선명
Time: 40.50s | Score: 110.77 | Status: 선명
Time: 41.00s | Score: 107.91 | Status: 선명
Time: 41.50s | Score: 103.09 | Status: 선명
Time: 42.00s | Score: 92.79 | Status: 선명
Time: 42.50s | Score: 97.77 | Status: 선명
Time: 43.00s | Score: 102.67 | Status: 선명
Time: 43.50s | Score: 103.44 | Status: 선명
Time: 44.00s | Score: 96.65 | Status: 선명
Time: 44.50s | Score: 114.71 | Status: 선명
Time: 45.00s | Score: 114.05 | Status: 선명
Time: 45.50s | Score: 95.65 | Status: 선명
Time: 46.00s | Score: 83.49 | Status: 선명
Time: 46.50s | Score: 107.81 | Status: 선명
Time: 47.00s | Score: 72.71 | Status: 선명
Time: 47.50s | Score: 128.43 | Status: 선명
Time: 48.00s | Score: 217.85 | Status: 선명
Time: 48.50s | Score: 194.50 | Status: 선명
Time: 49.00s | Score: 186.05 | Status: 선명
Time: 49.50s | Score: 123.70 | Status: 선명
Time: 50.00s | Score: 127.94 | Status: 선명
Time: 50.50s | Score: 113.48 | Status: 선명
Time: 51.00s | Score: 125.10 | Status: 선명
Time: 51.50s | Score: 127.70 | Status: 선명
Time: 52.00s | Score: 138.71 | Status: 선명
Time: 52.50s | Score: 131.96 | Status: 선명
Time: 53.00s | Score: 132.83 | Status: 선명
Time: 53.50s | Score: 125.32 | Status: 선명
Time: 54.00s | Score: 132.61 | Status: 선명
Time: 54.50s | Score: 432.94 | Status: 선명
Time: 55.00s | Score: 472.83 | Status: 선명
Time: 55.50s | Score: 448.17 | Status: 선명
Time: 56.00s | Score: 462.42 | Status: 선명
Time: 56.50s | Score: 425.99 | Status: 선명
Time: 57.00s | Score: 411.78 | Status: 선명
Time: 57.50s | Score: 442.40 | Status: 선명
Time: 58.00s | Score: 42.01 | Status: 흐림
Time: 58.50s | Score: 419.01 | Status: 선명
Time: 59.00s | Score: 457.41 | Status: 선명
Time: 59.50s | Score: 405.51 | Status: 선명
Time: 60.00s | Score: 409.13 | Status: 선명
Time: 60.50s | Score: 349.51 | Status: 선명
Time: 61.00s | Score: 319.18 | Status: 선명
Time: 61.50s | Score: 305.70 | Status: 선명
Time: 62.00s | Score: 282.25 | Status: 선명
Time: 62.50s | Score: 310.43 | Status: 선명
Time: 63.00s | Score: 294.92 | Status: 선명
Time: 63.50s | Score: 319.13 | Status: 선명
Time: 64.00s | Score: 350.55 | Status: 선명
Time: 64.50s | Score: 344.53 | Status: 선명
Time: 65.00s | Score: 341.98 | Status: 선명
Time: 65.50s | Score: 361.14 | Status: 선명
Time: 66.00s | Score: 383.88 | Status: 선명
Time: 66.50s | Score: 405.41 | Status: 선명
Time: 67.00s | Score: 400.72 | Status: 선명
Time: 67.50s | Score: 410.32 | Status: 선명
Time: 68.00s | Score: 411.77 | Status: 선명
Time: 68.50s | Score: 393.50 | Status: 선명
Time: 69.00s | Score: 388.48 | Status: 선명
Time: 69.50s | Score: 397.23 | Status: 선명
Time: 70.00s | Score: 377.60 | Status: 선명
Time: 70.50s | Score: 377.07 | Status: 선명
Time: 71.00s | Score: 373.95 | Status: 선명
Time: 71.50s | Score: 345.43 | Status: 선명
Time: 72.00s | Score: 374.29 | Status: 선명
Time: 72.50s | Score: 292.46 | Status: 선명
Time: 73.00s | Score: 294.54 | Status: 선명
Time: 73.50s | Score: 353.41 | Status: 선명
Time: 74.00s | Score: 351.02 | Status: 선명
Time: 74.50s | Score: 339.38 | Status: 선명
Time: 75.00s | Score: 282.32 | Status: 선명
Time: 75.50s | Score: 328.51 | Status: 선명
Time: 76.00s | Score: 357.21 | Status: 선명
Time: 76.50s | Score: 338.20 | Status: 선명
Time: 77.00s | Score: 61.78 | Status: 선명
Time: 77.50s | Score: 69.74 | Status: 선명
Time: 78.00s | Score: 172.62 | Status: 선명
Time: 78.50s | Score: 84.96 | Status: 선명
Time: 79.00s | Score: 69.36 | Status: 선명
Time: 79.50s | Score: 326.39 | Status: 선명
Time: 80.00s | Score: 355.51 | Status: 선명
Time: 80.50s | Score: 345.12 | Status: 선명
Time: 81.00s | Score: 270.19 | Status: 선명
Time: 81.50s | Score: 247.10 | Status: 선명
Time: 82.00s | Score: 241.82 | Status: 선명
Time: 82.50s | Score: 230.35 | Status: 선명
Time: 83.00s | Score: 178.06 | Status: 선명
Time: 83.50s | Score: 135.31 | Status: 선명
Time: 84.00s | Score: 132.20 | Status: 선명
Time: 84.50s | Score: 188.03 | Status: 선명
Time: 85.00s | Score: 207.64 | Status: 선명
Time: 85.50s | Score: 244.37 | Status: 선명
Time: 86.00s | Score: 270.54 | Status: 선명
Time: 86.50s | Score: 286.73 | Status: 선명
Time: 87.00s | Status: 얼굴 미검출
Time: 87.50s | Status: 얼굴 미검출
Time: 88.00s | Status: 얼굴 미검출
Time: 88.50s | Status: 얼굴 미검출
Time: 89.00s | Status: 얼굴 미검출
Time: 89.50s | Status: 얼굴 미검출
Time: 90.00s | Status: 얼굴 미검출
Time: 90.50s | Status: 얼굴 미검출
Time: 91.00s | Status: 얼굴 미검출
Time: 91.50s | Status: 얼굴 미검출
