[START] 'DTD LIVE Table_0916.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0916_mp4_2025-06-27T04:59:16.666Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Score: 70.22 | Status: 선명
Time: 15.50s | Score: 57.22 | Status: 선명
Time: 16.00s | Score: 68.30 | Status: 선명
Time: 16.50s | Score: 80.19 | Status: 선명
Time: 17.00s | Score: 47.02 | Status: 흐림
Time: 17.50s | Score: 199.49 | Status: 선명
Time: 18.00s | Score: 201.38 | Status: 선명
Time: 18.50s | Score: 200.21 | Status: 선명
Time: 19.00s | Score: 168.61 | Status: 선명
Time: 19.50s | Score: 202.32 | Status: 선명
Time: 20.00s | Score: 207.52 | Status: 선명
Time: 20.50s | Score: 198.61 | Status: 선명
Time: 21.00s | Score: 197.86 | Status: 선명
Time: 21.50s | Score: 162.41 | Status: 선명
Time: 22.00s | Score: 131.40 | Status: 선명
Time: 22.50s | Score: 146.18 | Status: 선명
Time: 23.00s | Score: 172.10 | Status: 선명
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Score: 161.55 | Status: 선명
Time: 24.50s | Score: 144.57 | Status: 선명
Time: 25.00s | Score: 119.88 | Status: 선명
Time: 25.50s | Score: 121.58 | Status: 선명
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Score: 204.15 | Status: 선명
Time: 27.00s | Score: 213.10 | Status: 선명
Time: 27.50s | Score: 216.58 | Status: 선명
Time: 28.00s | Status: 얼굴 미검출
Time: 28.50s | Score: 220.69 | Status: 선명
Time: 29.00s | Score: 223.57 | Status: 선명
