[START] 'DTD LIVE Table_0918.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0918_mp4_2025-06-27T05:07:14.266Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Score: 448.99 | Status: 선명
Time: 4.00s | Score: 523.59 | Status: 선명
Time: 4.50s | Score: 420.32 | Status: 선명
Time: 5.00s | Score: 428.28 | Status: 선명
Time: 5.50s | Score: 550.66 | Status: 선명
Time: 6.00s | Score: 560.51 | Status: 선명
Time: 6.50s | Score: 569.99 | Status: 선명
Time: 7.00s | Score: 408.46 | Status: 선명
Time: 7.50s | Score: 250.51 | Status: 선명
Time: 8.00s | Score: 393.14 | Status: 선명
Time: 8.50s | Score: 530.71 | Status: 선명
Time: 9.00s | Score: 517.40 | Status: 선명
Time: 9.50s | Score: 505.07 | Status: 선명
Time: 10.00s | Score: 261.08 | Status: 선명
Time: 10.50s | Score: 222.33 | Status: 선명
Time: 11.00s | Score: 315.36 | Status: 선명
Time: 11.50s | Score: 136.59 | Status: 선명
Time: 12.00s | Score: 301.81 | Status: 선명
Time: 12.50s | Score: 218.38 | Status: 선명
Time: 13.00s | Score: 316.57 | Status: 선명
Time: 13.50s | Score: 283.88 | Status: 선명
Time: 14.00s | Score: 307.17 | Status: 선명
Time: 14.50s | Score: 338.04 | Status: 선명
Time: 15.00s | Score: 323.52 | Status: 선명
Time: 15.50s | Score: 342.25 | Status: 선명
Time: 16.00s | Score: 313.10 | Status: 선명
Time: 16.50s | Score: 252.15 | Status: 선명
Time: 17.00s | Score: 171.86 | Status: 선명
Time: 17.50s | Score: 234.39 | Status: 선명
Time: 18.00s | Score: 232.57 | Status: 선명
Time: 18.50s | Score: 209.71 | Status: 선명
Time: 19.00s | Score: 207.86 | Status: 선명
Time: 19.50s | Score: 521.37 | Status: 선명
Time: 20.00s | Score: 516.16 | Status: 선명
Time: 20.50s | Score: 507.29 | Status: 선명
Time: 21.00s | Score: 435.01 | Status: 선명
Time: 21.50s | Score: 440.50 | Status: 선명
Time: 22.00s | Score: 151.67 | Status: 선명
Time: 22.50s | Score: 316.58 | Status: 선명
Time: 23.00s | Score: 353.58 | Status: 선명
Time: 23.50s | Score: 432.46 | Status: 선명
Time: 24.00s | Score: 115.36 | Status: 선명
Time: 24.50s | Score: 445.73 | Status: 선명
Time: 25.00s | Score: 397.97 | Status: 선명
Time: 25.50s | Score: 108.79 | Status: 선명
Time: 26.00s | Score: 510.61 | Status: 선명
Time: 26.50s | Score: 456.15 | Status: 선명
Time: 27.00s | Score: 408.28 | Status: 선명
Time: 27.50s | Score: 440.17 | Status: 선명
Time: 28.00s | Status: 얼굴 미검출
Time: 28.50s | Score: 479.68 | Status: 선명
Time: 29.00s | Score: 476.77 | Status: 선명
Time: 29.50s | Score: 470.22 | Status: 선명
Time: 30.00s | Score: 471.64 | Status: 선명
Time: 30.50s | Score: 488.83 | Status: 선명
Time: 31.00s | Score: 492.62 | Status: 선명
Time: 31.50s | Score: 485.63 | Status: 선명
Time: 32.00s | Score: 520.70 | Status: 선명
Time: 32.50s | Score: 461.95 | Status: 선명
Time: 33.00s | Score: 427.78 | Status: 선명
Time: 33.50s | Score: 409.38 | Status: 선명
Time: 34.00s | Score: 427.68 | Status: 선명
Time: 34.50s | Score: 490.45 | Status: 선명
Time: 35.00s | Score: 121.33 | Status: 선명
Time: 35.50s | Score: 121.69 | Status: 선명
Time: 36.00s | Score: 213.55 | Status: 선명
Time: 36.50s | Score: 260.82 | Status: 선명
Time: 37.00s | Score: 282.19 | Status: 선명
Time: 37.50s | Score: 258.33 | Status: 선명
Time: 38.00s | Score: 233.98 | Status: 선명
Time: 38.50s | Score: 246.36 | Status: 선명
Time: 39.00s | Score: 248.36 | Status: 선명
Time: 39.50s | Score: 250.34 | Status: 선명
Time: 40.00s | Score: 235.03 | Status: 선명
Time: 40.50s | Score: 229.12 | Status: 선명
Time: 41.00s | Score: 185.75 | Status: 선명
Time: 41.50s | Score: 160.05 | Status: 선명
Time: 42.00s | Score: 58.85 | Status: 선명
Time: 42.50s | Score: 82.18 | Status: 선명
Time: 43.00s | Score: 161.18 | Status: 선명
Time: 43.50s | Score: 31.97 | Status: 흐림
Time: 44.00s | Status: 얼굴 미검출
Time: 44.50s | Status: 얼굴 미검출
Time: 45.00s | Score: 170.71 | Status: 선명
Time: 45.50s | Score: 142.63 | Status: 선명
Time: 46.00s | Score: 116.52 | Status: 선명
Time: 46.50s | Score: 175.22 | Status: 선명
Time: 47.00s | Score: 189.84 | Status: 선명
Time: 47.50s | Score: 225.15 | Status: 선명
Time: 48.00s | Score: 226.39 | Status: 선명
Time: 48.50s | Score: 201.53 | Status: 선명
Time: 49.00s | Score: 216.28 | Status: 선명
Time: 49.50s | Score: 210.75 | Status: 선명
Time: 50.00s | Score: 218.83 | Status: 선명
Time: 50.50s | Score: 232.63 | Status: 선명
Time: 51.00s | Score: 243.13 | Status: 선명
Time: 51.50s | Score: 231.44 | Status: 선명
Time: 52.00s | Score: 264.74 | Status: 선명
Time: 52.50s | Score: 229.80 | Status: 선명
Time: 53.00s | Score: 199.95 | Status: 선명
Time: 53.50s | Score: 250.58 | Status: 선명
Time: 54.00s | Score: 263.79 | Status: 선명
Time: 54.50s | Score: 242.77 | Status: 선명
Time: 55.00s | Score: 255.53 | Status: 선명
Time: 55.50s | Score: 142.89 | Status: 선명
Time: 56.00s | Score: 167.37 | Status: 선명
Time: 56.50s | Status: 얼굴 미검출
Time: 57.00s | Score: 145.86 | Status: 선명
Time: 57.50s | Score: 148.30 | Status: 선명
Time: 58.00s | Score: 126.30 | Status: 선명
Time: 58.50s | Status: 얼굴 미검출
Time: 59.00s | Score: 334.62 | Status: 선명
Time: 59.50s | Score: 365.02 | Status: 선명
Time: 60.00s | Score: 369.21 | Status: 선명
