[START] 'DTD LIVE Table_0924.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0924_mp4_2025-06-27T05:14:10.539Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Status: 얼굴 미검출
Time: 18.00s | Status: 얼굴 미검출
Time: 18.50s | Status: 얼굴 미검출
Time: 19.00s | Status: 얼굴 미검출
Time: 19.50s | Status: 얼굴 미검출
Time: 20.00s | Status: 얼굴 미검출
Time: 20.50s | Status: 얼굴 미검출
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Status: 얼굴 미검출
Time: 22.50s | Status: 얼굴 미검출
Time: 23.00s | Status: 얼굴 미검출
Time: 23.50s | Status: 얼굴 미검출
Time: 24.00s | Status: 얼굴 미검출
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Status: 얼굴 미검출
Time: 25.50s | Status: 얼굴 미검출
Time: 26.00s | Status: 얼굴 미검출
Time: 26.50s | Status: 얼굴 미검출
Time: 27.00s | Status: 얼굴 미검출
Time: 27.50s | Status: 얼굴 미검출
Time: 28.00s | Status: 얼굴 미검출
Time: 28.50s | Status: 얼굴 미검출
Time: 29.00s | Status: 얼굴 미검출
Time: 29.50s | Status: 얼굴 미검출
Time: 30.00s | Status: 얼굴 미검출
Time: 30.50s | Status: 얼굴 미검출
Time: 31.00s | Status: 얼굴 미검출
Time: 31.50s | Status: 얼굴 미검출
Time: 32.00s | Status: 얼굴 미검출
Time: 32.50s | Status: 얼굴 미검출
Time: 33.00s | Status: 얼굴 미검출
Time: 33.50s | Status: 얼굴 미검출
Time: 34.00s | Status: 얼굴 미검출
Time: 34.50s | Status: 얼굴 미검출
Time: 35.00s | Status: 얼굴 미검출
Time: 35.50s | Status: 얼굴 미검출
Time: 36.00s | Status: 얼굴 미검출
Time: 36.50s | Status: 얼굴 미검출
Time: 37.00s | Status: 얼굴 미검출
Time: 37.50s | Status: 얼굴 미검출
Time: 38.00s | Status: 얼굴 미검출
Time: 38.50s | Status: 얼굴 미검출
Time: 39.00s | Status: 얼굴 미검출
Time: 39.50s | Status: 얼굴 미검출
Time: 40.00s | Status: 얼굴 미검출
Time: 40.50s | Status: 얼굴 미검출
Time: 41.00s | Status: 얼굴 미검출
Time: 41.50s | Status: 얼굴 미검출
Time: 42.00s | Status: 얼굴 미검출
Time: 42.50s | Status: 얼굴 미검출
Time: 43.00s | Status: 얼굴 미검출
Time: 43.50s | Status: 얼굴 미검출
Time: 44.00s | Status: 얼굴 미검출
Time: 44.50s | Status: 얼굴 미검출
Time: 45.00s | Status: 얼굴 미검출
Time: 45.50s | Status: 얼굴 미검출
Time: 46.00s | Status: 얼굴 미검출
Time: 46.50s | Status: 얼굴 미검출
Time: 47.00s | Status: 얼굴 미검출
Time: 47.50s | Status: 얼굴 미검출
Time: 48.00s | Status: 얼굴 미검출
Time: 48.50s | Status: 얼굴 미검출
Time: 49.00s | Status: 얼굴 미검출
Time: 49.50s | Status: 얼굴 미검출
Time: 50.00s | Status: 얼굴 미검출
Time: 50.50s | Status: 얼굴 미검출
Time: 51.00s | Status: 얼굴 미검출
Time: 51.50s | Status: 얼굴 미검출
Time: 52.00s | Status: 얼굴 미검출
Time: 52.50s | Status: 얼굴 미검출
Time: 53.00s | Status: 얼굴 미검출
Time: 53.50s | Status: 얼굴 미검출
Time: 54.00s | Status: 얼굴 미검출
Time: 54.50s | Status: 얼굴 미검출
Time: 55.00s | Status: 얼굴 미검출
Time: 55.50s | Status: 얼굴 미검출
Time: 56.00s | Status: 얼굴 미검출
Time: 56.50s | Status: 얼굴 미검출
Time: 57.00s | Status: 얼굴 미검출
Time: 57.50s | Status: 얼굴 미검출
Time: 58.00s | Status: 얼굴 미검출
Time: 58.50s | Status: 얼굴 미검출
Time: 59.00s | Status: 얼굴 미검출
Time: 59.50s | Status: 얼굴 미검출
Time: 60.00s | Status: 얼굴 미검출
Time: 60.50s | Status: 얼굴 미검출
Time: 61.00s | Status: 얼굴 미검출
Time: 61.50s | Status: 얼굴 미검출
Time: 62.00s | Status: 얼굴 미검출
Time: 62.50s | Status: 얼굴 미검출
Time: 63.00s | Status: 얼굴 미검출
Time: 63.50s | Status: 얼굴 미검출
Time: 64.00s | Status: 얼굴 미검출
Time: 64.50s | Status: 얼굴 미검출
Time: 65.00s | Status: 얼굴 미검출
Time: 65.50s | Status: 얼굴 미검출
Time: 66.00s | Status: 얼굴 미검출
Time: 66.50s | Status: 얼굴 미검출
Time: 67.00s | Status: 얼굴 미검출
Time: 67.50s | Status: 얼굴 미검출
Time: 68.00s | Status: 얼굴 미검출
Time: 68.50s | Status: 얼굴 미검출
Time: 69.00s | Status: 얼굴 미검출
Time: 69.50s | Status: 얼굴 미검출
Time: 70.00s | Status: 얼굴 미검출
Time: 70.50s | Status: 얼굴 미검출
Time: 71.00s | Status: 얼굴 미검출
Time: 71.50s | Status: 얼굴 미검출
Time: 72.00s | Status: 얼굴 미검출
Time: 72.50s | Status: 얼굴 미검출
Time: 73.00s | Status: 얼굴 미검출
Time: 73.50s | Status: 얼굴 미검출
Time: 74.00s | Status: 얼굴 미검출
Time: 74.50s | Status: 얼굴 미검출
Time: 75.00s | Status: 얼굴 미검출
Time: 75.50s | Status: 얼굴 미검출
Time: 76.00s | Status: 얼굴 미검출
Time: 76.50s | Status: 얼굴 미검출
Time: 77.00s | Status: 얼굴 미검출
Time: 77.50s | Status: 얼굴 미검출
Time: 78.00s | Status: 얼굴 미검출
Time: 78.50s | Status: 얼굴 미검출
Time: 79.00s | Status: 얼굴 미검출
Time: 79.50s | Status: 얼굴 미검출
Time: 80.00s | Status: 얼굴 미검출
Time: 80.50s | Status: 얼굴 미검출
Time: 81.00s | Status: 얼굴 미검출
Time: 81.50s | Status: 얼굴 미검출
Time: 82.00s | Status: 얼굴 미검출
Time: 82.50s | Status: 얼굴 미검출
Time: 83.00s | Status: 얼굴 미검출
Time: 83.50s | Status: 얼굴 미검출
Time: 84.00s | Status: 얼굴 미검출
Time: 84.50s | Score: 110.85 | Status: 선명
Time: 85.00s | Score: 116.20 | Status: 선명
Time: 85.50s | Score: 116.73 | Status: 선명
Time: 86.00s | Score: 303.94 | Status: 선명
Time: 86.50s | Score: 115.80 | Status: 선명
Time: 87.00s | Score: 111.21 | Status: 선명
Time: 87.50s | Score: 98.60 | Status: 선명
