[START] 'DTD LIVE Table_0928_다시.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0928____mp4_2025-06-27T05:28:31.404Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Score: 202.80 | Status: 선명
Time: 1.00s | Score: 170.32 | Status: 선명
Time: 1.50s | Score: 54.00 | Status: 선명
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Score: 174.98 | Status: 선명
Time: 3.00s | Score: 106.50 | Status: 선명
Time: 3.50s | Score: 152.65 | Status: 선명
Time: 4.00s | Score: 198.62 | Status: 선명
Time: 4.50s | Score: 168.91 | Status: 선명
Time: 5.00s | Score: 132.89 | Status: 선명
Time: 5.50s | Score: 338.77 | Status: 선명
Time: 6.00s | Score: 191.98 | Status: 선명
Time: 6.50s | Score: 188.28 | Status: 선명
Time: 7.00s | Score: 262.76 | Status: 선명
Time: 7.50s | Score: 460.72 | Status: 선명
Time: 8.00s | Score: 100.40 | Status: 선명
Time: 8.50s | Score: 137.44 | Status: 선명
Time: 9.00s | Score: 131.15 | Status: 선명
Time: 9.50s | Score: 152.69 | Status: 선명
Time: 10.00s | Score: 118.84 | Status: 선명
Time: 10.50s | Score: 130.75 | Status: 선명
Time: 11.00s | Score: 173.30 | Status: 선명
Time: 11.50s | Score: 160.80 | Status: 선명
Time: 12.00s | Score: 137.10 | Status: 선명
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Score: 137.41 | Status: 선명
Time: 15.00s | Score: 151.72 | Status: 선명
Time: 15.50s | Score: 177.74 | Status: 선명
Time: 16.00s | Score: 186.47 | Status: 선명
Time: 16.50s | Score: 94.13 | Status: 선명
Time: 17.00s | Score: 108.46 | Status: 선명
Time: 17.50s | Score: 183.94 | Status: 선명
Time: 18.00s | Score: 139.69 | Status: 선명
Time: 18.50s | Score: 172.51 | Status: 선명
Time: 19.00s | Score: 140.09 | Status: 선명
Time: 19.50s | Score: 181.54 | Status: 선명
Time: 20.00s | Score: 163.04 | Status: 선명
Time: 20.50s | Score: 158.92 | Status: 선명
Time: 21.00s | Status: 얼굴 미검출
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Score: 201.27 | Status: 선명
Time: 22.50s | Score: 255.97 | Status: 선명
Time: 23.00s | Score: 211.36 | Status: 선명
Time: 23.50s | Score: 264.59 | Status: 선명
Time: 24.00s | Score: 167.72 | Status: 선명
