[START] 'DTD LIVE Table_0929.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0929_mp4_2025-06-27T05:32:37.631Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Score: 56.88 | Status: 선명
Time: 18.00s | Score: 77.60 | Status: 선명
Time: 18.50s | Score: 86.72 | Status: 선명
Time: 19.00s | Score: 88.70 | Status: 선명
Time: 19.50s | Score: 74.82 | Status: 선명
Time: 20.00s | Score: 64.33 | Status: 선명
Time: 20.50s | Score: 74.79 | Status: 선명
Time: 21.00s | Score: 65.03 | Status: 선명
Time: 21.50s | Score: 77.38 | Status: 선명
Time: 22.00s | Score: 85.47 | Status: 선명
Time: 22.50s | Score: 69.43 | Status: 선명
Time: 23.00s | Score: 73.03 | Status: 선명
Time: 23.50s | Score: 91.04 | Status: 선명
Time: 24.00s | Score: 87.35 | Status: 선명
Time: 24.50s | Score: 97.56 | Status: 선명
Time: 25.00s | Score: 88.95 | Status: 선명
Time: 25.50s | Score: 97.25 | Status: 선명
Time: 26.00s | Score: 72.71 | Status: 선명
Time: 26.50s | Score: 78.05 | Status: 선명
Time: 27.00s | Score: 95.79 | Status: 선명
Time: 27.50s | Score: 92.82 | Status: 선명
Time: 28.00s | Score: 98.05 | Status: 선명
Time: 28.50s | Score: 93.46 | Status: 선명
Time: 29.00s | Score: 104.03 | Status: 선명
Time: 29.50s | Score: 80.86 | Status: 선명
Time: 30.00s | Score: 78.03 | Status: 선명
Time: 30.50s | Score: 84.19 | Status: 선명
Time: 31.00s | Score: 85.45 | Status: 선명
Time: 31.50s | Score: 190.56 | Status: 선명
Time: 32.00s | Score: 167.73 | Status: 선명
Time: 32.50s | Score: 140.61 | Status: 선명
Time: 33.00s | Score: 122.26 | Status: 선명
Time: 33.50s | Score: 144.56 | Status: 선명
Time: 34.00s | Score: 126.23 | Status: 선명
Time: 34.50s | Score: 160.11 | Status: 선명
Time: 35.00s | Score: 167.92 | Status: 선명
Time: 35.50s | Score: 157.48 | Status: 선명
Time: 36.00s | Score: 318.77 | Status: 선명
Time: 36.50s | Score: 298.01 | Status: 선명
Time: 37.00s | Score: 267.88 | Status: 선명
Time: 37.50s | Score: 418.75 | Status: 선명
Time: 38.00s | Score: 309.77 | Status: 선명
Time: 38.50s | Score: 391.53 | Status: 선명
Time: 39.00s | Score: 397.14 | Status: 선명
Time: 39.50s | Score: 343.37 | Status: 선명
Time: 40.00s | Score: 299.53 | Status: 선명
Time: 40.50s | Score: 477.40 | Status: 선명
Time: 41.00s | Score: 487.67 | Status: 선명
Time: 41.50s | Score: 449.79 | Status: 선명
Time: 42.00s | Score: 334.62 | Status: 선명
Time: 42.50s | Score: 422.62 | Status: 선명
Time: 43.00s | Status: 얼굴 미검출
Time: 43.50s | Score: 306.16 | Status: 선명
Time: 44.00s | Score: 360.33 | Status: 선명
Time: 44.50s | Score: 593.46 | Status: 선명
Time: 45.00s | Score: 518.03 | Status: 선명
Time: 45.50s | Score: 321.33 | Status: 선명
Time: 46.00s | Status: 얼굴 미검출
Time: 46.50s | Score: 365.43 | Status: 선명
Time: 47.00s | Score: 338.50 | Status: 선명
Time: 47.50s | Score: 347.83 | Status: 선명
Time: 48.00s | Score: 234.50 | Status: 선명
Time: 48.50s | Score: 420.88 | Status: 선명
Time: 49.00s | Score: 256.35 | Status: 선명
Time: 49.50s | Score: 379.98 | Status: 선명
Time: 50.00s | Score: 390.12 | Status: 선명
Time: 50.50s | Score: 343.37 | Status: 선명
Time: 51.00s | Status: 얼굴 미검출
Time: 51.50s | Score: 499.53 | Status: 선명
Time: 52.00s | Score: 545.88 | Status: 선명
Time: 52.50s | Score: 410.46 | Status: 선명
Time: 53.00s | Score: 162.21 | Status: 선명
Time: 53.50s | Score: 146.99 | Status: 선명
Time: 54.00s | Score: 145.15 | Status: 선명
Time: 54.50s | Status: 얼굴 미검출
Time: 55.00s | Score: 174.35 | Status: 선명
Time: 55.50s | Score: 173.15 | Status: 선명
Time: 56.00s | Score: 182.21 | Status: 선명
Time: 56.50s | Score: 133.97 | Status: 선명
Time: 57.00s | Score: 152.32 | Status: 선명
Time: 57.50s | Score: 143.10 | Status: 선명
Time: 58.00s | Score: 87.88 | Status: 선명
Time: 58.50s | Score: 138.46 | Status: 선명
Time: 59.00s | Score: 118.13 | Status: 선명
Time: 59.50s | Status: 얼굴 미검출
Time: 60.00s | Score: 394.29 | Status: 선명
Time: 60.50s | Score: 121.73 | Status: 선명
Time: 61.00s | Score: 137.18 | Status: 선명
Time: 61.50s | Score: 127.63 | Status: 선명
Time: 62.00s | Score: 128.40 | Status: 선명
Time: 62.50s | Score: 143.40 | Status: 선명
Time: 63.00s | Score: 135.11 | Status: 선명
Time: 63.50s | Score: 135.34 | Status: 선명
Time: 64.00s | Score: 148.59 | Status: 선명
Time: 64.50s | Score: 137.78 | Status: 선명
Time: 65.00s | Score: 141.52 | Status: 선명
Time: 65.50s | Score: 145.75 | Status: 선명
Time: 66.00s | Score: 152.54 | Status: 선명
Time: 66.50s | Score: 137.37 | Status: 선명
Time: 67.00s | Score: 138.85 | Status: 선명
