[START] 'DTD LIVE Table_0930.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0930_mp4_2025-06-27T05:36:00.831Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Score: 210.83 | Status: 선명
Time: 6.50s | Score: 182.99 | Status: 선명
Time: 7.00s | Score: 193.31 | Status: 선명
Time: 7.50s | Score: 195.93 | Status: 선명
Time: 8.00s | Score: 156.44 | Status: 선명
Time: 8.50s | Score: 164.80 | Status: 선명
Time: 9.00s | Score: 205.13 | Status: 선명
Time: 9.50s | Score: 184.07 | Status: 선명
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Score: 196.47 | Status: 선명
Time: 11.00s | Score: 189.68 | Status: 선명
Time: 11.50s | Score: 199.13 | Status: 선명
Time: 12.00s | Score: 348.16 | Status: 선명
Time: 12.50s | Score: 331.89 | Status: 선명
Time: 13.00s | Score: 465.91 | Status: 선명
Time: 13.50s | Score: 513.79 | Status: 선명
Time: 14.00s | Score: 514.78 | Status: 선명
Time: 14.50s | Score: 562.06 | Status: 선명
Time: 15.00s | Score: 492.47 | Status: 선명
Time: 15.50s | Score: 442.52 | Status: 선명
Time: 16.00s | Score: 556.56 | Status: 선명
Time: 16.50s | Score: 473.00 | Status: 선명
Time: 17.00s | Score: 572.34 | Status: 선명
Time: 17.50s | Score: 601.00 | Status: 선명
Time: 18.00s | Score: 550.06 | Status: 선명
Time: 18.50s | Score: 595.47 | Status: 선명
Time: 19.00s | Score: 622.46 | Status: 선명
Time: 19.50s | Score: 544.39 | Status: 선명
Time: 20.00s | Score: 523.25 | Status: 선명
Time: 20.50s | Score: 495.70 | Status: 선명
Time: 21.00s | Score: 553.60 | Status: 선명
Time: 21.50s | Status: 얼굴 미검출
Time: 22.00s | Score: 124.81 | Status: 선명
Time: 22.50s | Score: 163.88 | Status: 선명
Time: 23.00s | Score: 186.51 | Status: 선명
Time: 23.50s | Score: 208.17 | Status: 선명
Time: 24.00s | Score: 175.41 | Status: 선명
Time: 24.50s | Score: 187.40 | Status: 선명
Time: 25.00s | Score: 171.83 | Status: 선명
Time: 25.50s | Score: 164.18 | Status: 선명
Time: 26.00s | Score: 172.16 | Status: 선명
Time: 26.50s | Score: 178.14 | Status: 선명
Time: 27.00s | Score: 188.63 | Status: 선명
Time: 27.50s | Score: 163.39 | Status: 선명
Time: 28.00s | Score: 159.60 | Status: 선명
Time: 28.50s | Score: 144.50 | Status: 선명
Time: 29.00s | Score: 161.23 | Status: 선명
Time: 29.50s | Score: 188.20 | Status: 선명
Time: 30.00s | Score: 197.73 | Status: 선명
Time: 30.50s | Score: 84.73 | Status: 선명
Time: 31.00s | Score: 172.18 | Status: 선명
Time: 31.50s | Score: 169.30 | Status: 선명
Time: 32.00s | Score: 162.08 | Status: 선명
Time: 32.50s | Score: 165.48 | Status: 선명
Time: 33.00s | Score: 163.55 | Status: 선명
Time: 33.50s | Score: 894.39 | Status: 선명
Time: 34.00s | Score: 149.45 | Status: 선명
Time: 34.50s | Score: 175.94 | Status: 선명
