[START] 'LUXON Table_0732.mp4' 분석을 시작합니다. (ID: LUXON_Table_0732_mp4_2025-06-30T00:57:20.186Z)
Time: 0.00s | Score: 111.22 | Status: 선명
Time: 0.50s | Score: 149.63 | Status: 선명
Time: 1.00s | Score: 228.41 | Status: 선명
Time: 1.50s | Score: 267.52 | Status: 선명
Time: 2.00s | Score: 321.44 | Status: 선명
Time: 2.50s | Score: 399.46 | Status: 선명
Time: 3.00s | Score: 156.71 | Status: 선명
Time: 3.50s | Score: 74.10 | Status: 선명
Time: 4.00s | Status: 미검출
Time: 4.50s | Score: 289.09 | Status: 선명
Time: 5.00s | Score: 543.05 | Status: 선명
Time: 5.50s | Score: 525.83 | Status: 선명
Time: 6.00s | Score: 128.25 | Status: 선명
Time: 6.50s | Score: 116.64 | Status: 선명
Time: 7.00s | Score: 181.27 | Status: 선명
Time: 7.50s | Score: 171.46 | Status: 선명
Time: 8.00s | Score: 233.94 | Status: 선명
Time: 8.50s | Score: 260.95 | Status: 선명
Time: 9.00s | Score: 244.76 | Status: 선명
Time: 9.50s | Score: 201.87 | Status: 선명
Time: 10.00s | Score: 213.05 | Status: 선명
Time: 10.50s | Score: 130.06 | Status: 선명
Time: 11.00s | Score: 176.93 | Status: 선명
Time: 11.50s | Score: 193.76 | Status: 선명
Time: 12.00s | Score: 133.83 | Status: 선명
Time: 12.50s | Score: 81.06 | Status: 선명
Time: 13.00s | Score: 100.87 | Status: 선명
Time: 13.50s | Score: 77.18 | Status: 선명
Time: 14.00s | Score: 120.44 | Status: 선명
Time: 14.50s | Score: 97.05 | Status: 선명
Time: 15.00s | Score: 214.35 | Status: 선명
Time: 15.50s | Score: 208.28 | Status: 선명
Time: 16.00s | Score: 79.73 | Status: 선명
Time: 16.50s | Score: 99.26 | Status: 선명
Time: 17.00s | Score: 90.67 | Status: 선명
Time: 17.50s | Score: 102.62 | Status: 선명
Time: 18.00s | Score: 302.07 | Status: 선명
Time: 18.50s | Score: 256.11 | Status: 선명
Time: 19.00s | Score: 186.74 | Status: 선명
Time: 19.50s | Score: 209.39 | Status: 선명
Time: 20.00s | Score: 194.08 | Status: 선명
Time: 20.50s | Score: 65.63 | Status: 선명
Time: 21.00s | Status: 미검출
Time: 21.50s | Status: 미검출
Time: 22.00s | Status: 미검출
Time: 22.50s | Status: 미검출
Time: 23.00s | Score: 72.99 | Status: 선명
Time: 23.50s | Score: 53.20 | Status: 선명
Time: 24.00s | Score: 74.28 | Status: 선명
Time: 24.50s | Score: 75.84 | Status: 선명
Time: 25.00s | Score: 69.24 | Status: 선명
Time: 25.50s | Score: 75.65 | Status: 선명
Time: 26.00s | Score: 79.19 | Status: 선명
Time: 26.50s | Score: 71.91 | Status: 선명
Time: 27.00s | Score: 79.33 | Status: 선명
Time: 27.50s | Score: 78.04 | Status: 선명
Time: 28.00s | Score: 69.68 | Status: 선명
Time: 28.50s | Score: 72.07 | Status: 선명
Time: 29.00s | Score: 84.54 | Status: 선명
Time: 29.50s | Score: 82.34 | Status: 선명
Time: 30.00s | Score: 71.90 | Status: 선명
Time: 30.50s | Score: 84.49 | Status: 선명
Time: 31.00s | Score: 87.35 | Status: 선명
Time: 31.50s | Score: 91.08 | Status: 선명
Time: 32.00s | Score: 90.10 | Status: 선명
Time: 32.50s | Score: 80.54 | Status: 선명
Time: 33.00s | Score: 76.44 | Status: 선명
Time: 33.50s | Score: 53.43 | Status: 선명
Time: 34.00s | Score: 55.17 | Status: 선명
Time: 34.50s | Score: 57.45 | Status: 선명
Time: 35.00s | Score: 216.73 | Status: 선명
Time: 35.50s | Score: 216.65 | Status: 선명
Time: 36.00s | Score: 195.07 | Status: 선명
Time: 36.50s | Score: 228.05 | Status: 선명
Time: 37.00s | Score: 215.77 | Status: 선명
Time: 37.50s | Score: 208.29 | Status: 선명
Time: 38.00s | Score: 182.47 | Status: 선명
Time: 38.50s | Score: 174.65 | Status: 선명
Time: 39.00s | Score: 182.90 | Status: 선명
Time: 39.50s | Score: 206.51 | Status: 선명
Time: 40.00s | Score: 192.46 | Status: 선명
Time: 40.50s | Score: 165.73 | Status: 선명
Time: 41.00s | Score: 216.64 | Status: 선명
Time: 41.50s | Score: 188.88 | Status: 선명
Time: 42.00s | Score: 183.63 | Status: 선명
Time: 42.50s | Score: 202.78 | Status: 선명
Time: 43.00s | Score: 237.91 | Status: 선명
Time: 43.50s | Score: 210.49 | Status: 선명
Time: 44.00s | Score: 162.37 | Status: 선명
Time: 44.50s | Score: 429.06 | Status: 선명
Time: 45.00s | Score: 420.10 | Status: 선명
Time: 45.50s | Score: 419.49 | Status: 선명
Time: 46.00s | Score: 392.37 | Status: 선명
Time: 46.50s | Score: 382.88 | Status: 선명
Time: 47.00s | Score: 443.46 | Status: 선명
Time: 47.50s | Score: 440.21 | Status: 선명
Time: 48.00s | Score: 451.67 | Status: 선명
Time: 48.50s | Score: 450.54 | Status: 선명
Time: 49.00s | Score: 466.75 | Status: 선명
Time: 49.50s | Score: 441.44 | Status: 선명
Time: 50.00s | Score: 428.53 | Status: 선명
Time: 50.50s | Score: 203.84 | Status: 선명
Time: 51.00s | Score: 246.99 | Status: 선명
Time: 51.50s | Score: 226.07 | Status: 선명
Time: 52.00s | Score: 228.28 | Status: 선명
Time: 52.50s | Score: 221.58 | Status: 선명
Time: 53.00s | Score: 225.71 | Status: 선명
Time: 53.50s | Score: 236.48 | Status: 선명
Time: 54.00s | Score: 236.62 | Status: 선명
Time: 54.50s | Score: 225.14 | Status: 선명
Time: 55.00s | Score: 217.54 | Status: 선명
Time: 55.50s | Score: 251.36 | Status: 선명
Time: 56.00s | Score: 238.08 | Status: 선명
Time: 56.50s | Score: 215.41 | Status: 선명
Time: 57.00s | Score: 195.66 | Status: 선명
Time: 57.50s | Score: 81.84 | Status: 선명
Time: 58.00s | Score: 183.28 | Status: 선명
Time: 58.50s | Score: 60.89 | Status: 선명
Time: 59.00s | Score: 69.82 | Status: 선명
Time: 59.50s | Score: 81.32 | Status: 선명
Time: 60.00s | Score: 75.74 | Status: 선명
Time: 60.50s | Score: 85.62 | Status: 선명
Time: 61.00s | Score: 92.50 | Status: 선명
Time: 61.50s | Score: 75.66 | Status: 선명
Time: 62.00s | Score: 76.16 | Status: 선명
Time: 62.50s | Score: 76.13 | Status: 선명
Time: 63.00s | Score: 81.50 | Status: 선명
Time: 63.50s | Score: 72.42 | Status: 선명
Time: 64.00s | Score: 97.22 | Status: 선명
Time: 64.50s | Score: 100.27 | Status: 선명
Time: 65.00s | Score: 96.33 | Status: 선명
Time: 65.50s | Score: 91.17 | Status: 선명
Time: 66.00s | Score: 91.40 | Status: 선명
Time: 66.50s | Score: 69.64 | Status: 선명
Time: 67.00s | Score: 176.28 | Status: 선명
Time: 67.50s | Score: 100.18 | Status: 선명
Time: 68.00s | Score: 187.45 | Status: 선명
Time: 68.50s | Score: 208.16 | Status: 선명
Time: 69.00s | Score: 189.16 | Status: 선명
Time: 69.50s | Score: 196.33 | Status: 선명
Time: 70.00s | Score: 190.66 | Status: 선명
Time: 70.50s | Score: 187.94 | Status: 선명
Time: 71.00s | Score: 111.14 | Status: 선명
Time: 71.50s | Score: 63.84 | Status: 선명
Time: 72.00s | Score: 94.32 | Status: 선명
Time: 72.50s | Score: 100.75 | Status: 선명
Time: 73.00s | Score: 105.39 | Status: 선명
Time: 73.50s | Score: 87.50 | Status: 선명
Time: 74.00s | Score: 88.54 | Status: 선명
Time: 74.50s | Score: 84.25 | Status: 선명
Time: 75.00s | Score: 119.98 | Status: 선명
Time: 75.50s | Status: 미검출
Time: 76.00s | Status: 미검출
Time: 76.50s | Score: 134.64 | Status: 선명
Time: 77.00s | Score: 185.17 | Status: 선명
Time: 77.50s | Score: 125.64 | Status: 선명
Time: 78.00s | Status: 미검출
Time: 78.50s | Score: 100.34 | Status: 선명
Time: 79.00s | Score: 203.43 | Status: 선명
Time: 79.50s | Status: 미검출
Time: 80.00s | Status: 미검출
Time: 80.50s | Status: 미검출
Time: 81.00s | Status: 미검출
Time: 81.50s | Status: 미검출
Time: 82.00s | Status: 미검출
Time: 82.50s | Status: 미검출
Time: 83.00s | Status: 미검출
Time: 83.50s | Status: 미검출
Time: 84.00s | Status: 미검출
Time: 84.50s | Score: 61.35 | Status: 선명
Time: 85.00s | Score: 93.50 | Status: 선명
Time: 85.50s | Score: 98.73 | Status: 선명
Time: 86.00s | Score: 110.12 | Status: 선명
Time: 86.50s | Score: 96.49 | Status: 선명
Time: 87.00s | Score: 94.81 | Status: 선명
Time: 87.50s | Score: 103.50 | Status: 선명
Time: 88.00s | Score: 100.64 | Status: 선명
Time: 88.50s | Score: 96.21 | Status: 선명
Time: 89.00s | Score: 77.06 | Status: 선명
Time: 89.50s | Score: 106.20 | Status: 선명
Time: 90.00s | Score: 190.51 | Status: 선명
Time: 90.50s | Score: 89.73 | Status: 선명
Time: 91.00s | Score: 215.29 | Status: 선명
Time: 91.50s | Score: 193.90 | Status: 선명
Time: 92.00s | Score: 204.05 | Status: 선명
Time: 92.50s | Score: 211.26 | Status: 선명
Time: 93.00s | Score: 174.91 | Status: 선명
Time: 93.50s | Score: 164.04 | Status: 선명
Time: 94.00s | Score: 223.15 | Status: 선명
Time: 94.50s | Score: 225.22 | Status: 선명
Time: 95.00s | Score: 243.96 | Status: 선명
Time: 95.50s | Score: 215.35 | Status: 선명
Time: 96.00s | Score: 235.91 | Status: 선명
Time: 96.50s | Score: 247.01 | Status: 선명
Time: 97.00s | Score: 268.34 | Status: 선명
Time: 97.50s | Score: 131.15 | Status: 선명
Time: 98.00s | Score: 183.04 | Status: 선명
Time: 98.50s | Score: 170.46 | Status: 선명
Time: 99.00s | Score: 184.24 | Status: 선명
Time: 99.50s | Score: 176.99 | Status: 선명
Time: 100.00s | Score: 82.52 | Status: 선명
Time: 100.50s | Score: 122.59 | Status: 선명
Time: 101.00s | Score: 178.33 | Status: 선명
Time: 101.50s | Score: 121.59 | Status: 선명
Time: 102.00s | Score: 122.54 | Status: 선명
Time: 102.50s | Score: 38.16 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 103.00s | Score: 70.95 | Status: 선명
Time: 103.50s | Score: 71.17 | Status: 선명
Time: 104.00s | Score: 69.38 | Status: 선명
Time: 104.50s | Score: 71.45 | Status: 선명
Time: 105.00s | Score: 73.87 | Status: 선명
Time: 105.50s | Score: 73.02 | Status: 선명
Time: 106.00s | Score: 68.71 | Status: 선명
Time: 106.50s | Score: 80.71 | Status: 선명
Time: 107.00s | Score: 111.03 | Status: 선명
Time: 107.50s | Score: 96.20 | Status: 선명
Time: 108.00s | Score: 80.43 | Status: 선명
Time: 108.50s | Score: 79.23 | Status: 선명
Time: 109.00s | Score: 74.84 | Status: 선명
Time: 109.50s | Score: 92.27 | Status: 선명
Time: 110.00s | Score: 78.05 | Status: 선명
Time: 110.50s | Score: 74.36 | Status: 선명
Time: 111.00s | Score: 143.54 | Status: 선명
Time: 111.50s | Score: 135.13 | Status: 선명
Time: 112.00s | Score: 131.45 | Status: 선명
Time: 112.50s | Score: 74.98 | Status: 선명
Time: 113.00s | Score: 93.20 | Status: 선명
Time: 113.50s | Score: 83.93 | Status: 선명
Time: 114.00s | Score: 89.86 | Status: 선명
Time: 114.50s | Score: 171.01 | Status: 선명
Time: 115.00s | Score: 126.03 | Status: 선명
Time: 115.50s | Score: 106.31 | Status: 선명
Time: 116.00s | Score: 98.56 | Status: 선명
Time: 116.50s | Score: 107.55 | Status: 선명
Time: 117.00s | Score: 38.88 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 117.50s | Score: 61.96 | Status: 선명
Time: 118.00s | Score: 83.10 | Status: 선명
Time: 118.50s | Score: 82.36 | Status: 선명
Time: 119.00s | Score: 75.23 | Status: 선명
Time: 119.50s | Score: 83.43 | Status: 선명
Time: 120.00s | Score: 189.12 | Status: 선명
Time: 120.50s | Score: 95.82 | Status: 선명
Time: 121.00s | Score: 76.67 | Status: 선명
Time: 121.50s | Score: 92.08 | Status: 선명
Time: 122.00s | Score: 166.76 | Status: 선명
Time: 122.50s | Score: 156.14 | Status: 선명
Time: 123.00s | Score: 205.46 | Status: 선명
Time: 123.50s | Score: 173.32 | Status: 선명
Time: 124.00s | Score: 175.22 | Status: 선명
Time: 124.50s | Score: 204.58 | Status: 선명
Time: 125.00s | Score: 185.83 | Status: 선명
Time: 125.50s | Score: 204.46 | Status: 선명
Time: 126.00s | Score: 213.51 | Status: 선명
Time: 126.50s | Score: 199.39 | Status: 선명
Time: 127.00s | Score: 190.98 | Status: 선명
Time: 127.50s | Score: 188.03 | Status: 선명
Time: 128.00s | Score: 180.18 | Status: 선명
Time: 128.50s | Score: 213.60 | Status: 선명
Time: 129.00s | Score: 224.76 | Status: 선명
Time: 129.50s | Score: 170.71 | Status: 선명
Time: 130.00s | Score: 188.85 | Status: 선명
Time: 130.50s | Score: 183.75 | Status: 선명
Time: 131.00s | Score: 279.04 | Status: 선명
Time: 131.50s | Status: 미검출
Time: 132.00s | Score: 152.37 | Status: 선명
Time: 132.50s | Score: 165.14 | Status: 선명
Time: 133.00s | Score: 193.03 | Status: 선명
Time: 133.50s | Score: 216.19 | Status: 선명
Time: 134.00s | Score: 249.79 | Status: 선명
Time: 134.50s | Score: 136.59 | Status: 선명
Time: 135.00s | Score: 216.82 | Status: 선명
Time: 135.50s | Score: 242.53 | Status: 선명
Time: 136.00s | Score: 225.47 | Status: 선명
Time: 136.50s | Score: 186.56 | Status: 선명
Time: 137.00s | Score: 145.84 | Status: 선명
Time: 137.50s | Score: 174.18 | Status: 선명
Time: 138.00s | Score: 171.98 | Status: 선명
Time: 138.50s | Score: 256.41 | Status: 선명
Time: 139.00s | Score: 247.87 | Status: 선명
Time: 139.50s | Score: 219.14 | Status: 선명
Time: 140.00s | Score: 234.57 | Status: 선명
Time: 140.50s | Score: 181.33 | Status: 선명
Time: 141.00s | Score: 175.56 | Status: 선명
Time: 141.50s | Score: 205.88 | Status: 선명
Time: 142.00s | Score: 216.14 | Status: 선명
