[START] 'LUXON Table_0726.mp4' 분석을 시작합니다. (ID: LUXON_Table_0726_mp4_2025-06-27T09:23:46.556Z)
Time: 0.00s | Status: 미검출
Time: 0.50s | Status: 미검출
Time: 1.00s | Status: 미검출
Time: 1.50s | Status: 미검출
Time: 2.00s | Status: 미검출
Time: 2.50s | Status: 미검출
Time: 3.00s | Status: 미검출
Time: 3.50s | Status: 미검출
Time: 4.00s | Status: 미검출
Time: 4.50s | Status: 미검출
Time: 5.00s | Status: 미검출
Time: 5.50s | Status: 미검출
Time: 6.00s | Status: 미검출
Time: 6.50s | Status: 미검출
Time: 7.00s | Status: 미검출
Time: 7.50s | Status: 미검출
Time: 8.00s | Status: 미검출
Time: 8.50s | Status: 미검출
Time: 9.00s | Status: 미검출
Time: 9.50s | Status: 미검출
Time: 10.00s | Status: 미검출
Time: 10.50s | Status: 미검출
Time: 11.00s | Status: 미검출
Time: 11.50s | Status: 미검출
Time: 12.00s | Status: 미검출
Time: 12.50s | Status: 미검출
Time: 13.00s | Status: 미검출
Time: 13.50s | Status: 미검출
Time: 14.00s | Status: 미검출
Time: 14.50s | Status: 미검출
Time: 15.00s | Status: 미검출
Time: 15.50s | Status: 미검출
Time: 16.00s | Status: 미검출
Time: 16.50s | Status: 미검출
Time: 17.00s | Status: 미검출
Time: 17.50s | Status: 미검출
Time: 18.00s | Status: 미검출
Time: 18.50s | Status: 미검출
Time: 19.00s | Status: 미검출
Time: 19.50s | Status: 미검출
Time: 20.00s | Status: 미검출
Time: 20.50s | Status: 미검출
Time: 21.00s | Status: 미검출
Time: 21.50s | Status: 미검출
Time: 22.00s | Status: 미검출
Time: 22.50s | Status: 미검출
Time: 23.00s | Status: 미검출
Time: 23.50s | Status: 미검출
Time: 24.00s | Status: 미검출
Time: 24.50s | Status: 미검출
Time: 25.00s | Status: 미검출
Time: 25.50s | Status: 미검출
Time: 26.00s | Status: 미검출
Time: 26.50s | Status: 미검출
Time: 27.00s | Status: 미검출
Time: 27.50s | Status: 미검출
Time: 28.00s | Status: 미검출
Time: 28.50s | Status: 미검출
Time: 29.00s | Score: 220.37 | Status: 선명
Time: 29.50s | Score: 210.02 | Status: 선명
Time: 30.00s | Score: 194.07 | Status: 선명
Time: 30.50s | Score: 55.28 | Status: 선명
Time: 31.00s | Score: 135.30 | Status: 선명
Time: 31.50s | Score: 107.01 | Status: 선명
Time: 32.00s | Score: 151.41 | Status: 선명
Time: 32.50s | Score: 81.42 | Status: 선명
Time: 33.00s | Score: 66.45 | Status: 선명
Time: 33.50s | Score: 110.54 | Status: 선명
Time: 34.00s | Score: 79.13 | Status: 선명
Time: 34.50s | Score: 114.29 | Status: 선명
Time: 35.00s | Score: 150.31 | Status: 선명
Time: 35.50s | Score: 143.45 | Status: 선명
Time: 36.00s | Score: 215.82 | Status: 선명
Time: 36.50s | Score: 342.65 | Status: 선명
Time: 37.00s | Score: 39.55 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 37.50s | Score: 203.27 | Status: 선명
Time: 38.00s | Status: 미검출
Time: 38.50s | Status: 미검출
Time: 39.00s | Score: 65.94 | Status: 선명
Time: 39.50s | Score: 182.94 | Status: 선명
Time: 40.00s | Score: 340.41 | Status: 선명
Time: 40.50s | Score: 101.28 | Status: 선명
Time: 41.00s | Score: 101.53 | Status: 선명
Time: 41.50s | Score: 100.31 | Status: 선명
Time: 42.00s | Score: 106.01 | Status: 선명
Time: 42.50s | Score: 125.22 | Status: 선명
Time: 43.00s | Score: 64.12 | Status: 선명
Time: 43.50s | Score: 138.61 | Status: 선명
Time: 44.00s | Score: 193.92 | Status: 선명
Time: 44.50s | Score: 186.18 | Status: 선명
Time: 45.00s | Score: 175.36 | Status: 선명
Time: 45.50s | Score: 176.23 | Status: 선명
Time: 46.00s | Score: 137.81 | Status: 선명
Time: 46.50s | Score: 92.38 | Status: 선명
Time: 47.00s | Score: 139.58 | Status: 선명
Time: 47.50s | Score: 136.33 | Status: 선명
Time: 48.00s | Score: 132.60 | Status: 선명
Time: 48.50s | Score: 61.80 | Status: 선명
Time: 49.00s | Score: 88.22 | Status: 선명
Time: 49.50s | Score: 82.59 | Status: 선명
Time: 50.00s | Score: 63.50 | Status: 선명
Time: 50.50s | Score: 62.27 | Status: 선명
Time: 51.00s | Score: 61.32 | Status: 선명
Time: 51.50s | Score: 58.39 | Status: 선명
Time: 52.00s | Score: 56.63 | Status: 선명
Time: 52.50s | Score: 149.69 | Status: 선명
Time: 53.00s | Score: 152.28 | Status: 선명
Time: 53.50s | Score: 144.26 | Status: 선명
Time: 54.00s | Score: 144.07 | Status: 선명
Time: 54.50s | Score: 141.81 | Status: 선명
Time: 55.00s | Score: 93.47 | Status: 선명
Time: 55.50s | Score: 100.75 | Status: 선명
Time: 56.00s | Status: 미검출
Time: 56.50s | Status: 미검출
Time: 57.00s | Status: 미검출
Time: 57.50s | Score: 75.18 | Status: 선명
