[START] 'ONYX Table_0546.mp4' 분석을 시작합니다. (ID: ONYX_Table_0546_mp4_2025-06-27T09:28:42.130Z)
Time: 0.00s | Status: 미검출
Time: 0.50s | Status: 미검출
Time: 1.00s | Status: 미검출
Time: 1.50s | Status: 미검출
Time: 2.00s | Status: 미검출
Time: 2.50s | Status: 미검출
Time: 3.00s | Status: 미검출
Time: 3.50s | Status: 미검출
Time: 4.00s | Status: 미검출
Time: 4.50s | Status: 미검출
Time: 5.00s | Status: 미검출
Time: 5.50s | Status: 미검출
Time: 6.00s | Status: 미검출
Time: 6.50s | Status: 미검출
Time: 7.00s | Status: 미검출
Time: 7.50s | Status: 미검출
Time: 8.00s | Status: 미검출
Time: 8.50s | Status: 미검출
Time: 9.00s | Status: 미검출
Time: 9.50s | Status: 미검출
Time: 10.00s | Status: 미검출
Time: 10.50s | Status: 미검출
Time: 11.00s | Status: 미검출
Time: 11.50s | Status: 미검출
Time: 12.00s | Status: 미검출
Time: 12.50s | Status: 미검출
Time: 13.00s | Status: 미검출
Time: 13.50s | Status: 미검출
Time: 14.00s | Status: 미검출
Time: 14.50s | Status: 미검출
Time: 15.00s | Status: 미검출
Time: 15.50s | Status: 미검출
Time: 16.00s | Status: 미검출
Time: 16.50s | Status: 미검출
Time: 17.00s | Status: 미검출
Time: 17.50s | Status: 미검출
Time: 18.00s | Status: 미검출
Time: 18.50s | Status: 미검출
Time: 19.00s | Status: 미검출
Time: 19.50s | Status: 미검출
Time: 20.00s | Status: 미검출
Time: 20.50s | Status: 미검출
Time: 21.00s | Status: 미검출
Time: 21.50s | Status: 미검출
Time: 22.00s | Status: 미검출
Time: 22.50s | Status: 미검출
Time: 23.00s | Status: 미검출
Time: 23.50s | Status: 미검출
Time: 24.00s | Status: 미검출
Time: 24.50s | Status: 미검출
Time: 25.00s | Status: 미검출
Time: 25.50s | Status: 미검출
Time: 26.00s | Status: 미검출
Time: 26.50s | Status: 미검출
Time: 27.00s | Status: 미검출
Time: 27.50s | Status: 미검출
Time: 28.00s | Status: 미검출
Time: 28.50s | Status: 미검출
Time: 29.00s | Score: 220.83 | Status: 선명
Time: 29.50s | Score: 256.61 | Status: 선명
Time: 30.00s | Score: 279.82 | Status: 선명
Time: 30.50s | Score: 258.83 | Status: 선명
Time: 31.00s | Score: 273.76 | Status: 선명
Time: 31.50s | Score: 257.88 | Status: 선명
Time: 32.00s | Score: 238.49 | Status: 선명
Time: 32.50s | Score: 236.71 | Status: 선명
Time: 33.00s | Score: 285.22 | Status: 선명
Time: 33.50s | Score: 316.04 | Status: 선명
Time: 34.00s | Score: 289.85 | Status: 선명
Time: 34.50s | Score: 363.61 | Status: 선명
Time: 35.00s | Score: 195.50 | Status: 선명
Time: 35.50s | Score: 296.11 | Status: 선명
Time: 36.00s | Score: 248.76 | Status: 선명
Time: 36.50s | Score: 234.60 | Status: 선명
Time: 37.00s | Score: 246.19 | Status: 선명
Time: 37.50s | Score: 260.74 | Status: 선명
Time: 38.00s | Score: 138.26 | Status: 선명
Time: 38.50s | Score: 114.24 | Status: 선명
Time: 39.00s | Score: 176.34 | Status: 선명
Time: 39.50s | Score: 250.50 | Status: 선명
Time: 40.00s | Score: 239.75 | Status: 선명
Time: 40.50s | Score: 236.41 | Status: 선명
Time: 41.00s | Score: 252.38 | Status: 선명
Time: 41.50s | Score: 330.38 | Status: 선명
Time: 42.00s | Score: 273.10 | Status: 선명
Time: 42.50s | Score: 236.20 | Status: 선명
Time: 43.00s | Score: 230.32 | Status: 선명
Time: 43.50s | Score: 449.69 | Status: 선명
Time: 44.00s | Score: 185.41 | Status: 선명
Time: 44.50s | Score: 483.45 | Status: 선명
Time: 45.00s | Score: 165.12 | Status: 선명
Time: 45.50s | Score: 241.25 | Status: 선명
Time: 46.00s | Score: 244.87 | Status: 선명
Time: 46.50s | Score: 179.60 | Status: 선명
Time: 47.00s | Score: 255.77 | Status: 선명
Time: 47.50s | Score: 189.12 | Status: 선명
Time: 48.00s | Score: 202.05 | Status: 선명
Time: 48.50s | Score: 178.66 | Status: 선명
Time: 49.00s | Score: 172.10 | Status: 선명
Time: 49.50s | Score: 268.59 | Status: 선명
Time: 50.00s | Score: 188.17 | Status: 선명
Time: 50.50s | Score: 178.20 | Status: 선명
Time: 51.00s | Score: 149.86 | Status: 선명
Time: 51.50s | Score: 169.96 | Status: 선명
Time: 52.00s | Score: 167.94 | Status: 선명
Time: 52.50s | Score: 183.24 | Status: 선명
Time: 53.00s | Score: 187.40 | Status: 선명
Time: 53.50s | Score: 95.59 | Status: 선명
Time: 54.00s | Score: 370.43 | Status: 선명
Time: 54.50s | Status: 미검출
Time: 55.00s | Status: 미검출
Time: 55.50s | Status: 미검출
Time: 56.00s | Status: 미검출
Time: 56.50s | Score: 155.13 | Status: 선명
Time: 57.00s | Score: 114.60 | Status: 선명
Time: 57.50s | Score: 82.53 | Status: 선명
Time: 58.00s | Score: 139.85 | Status: 선명
Time: 58.50s | Score: 145.93 | Status: 선명
Time: 59.00s | Score: 190.34 | Status: 선명
Time: 59.50s | Score: 207.49 | Status: 선명
Time: 60.00s | Score: 209.53 | Status: 선명
Time: 60.50s | Score: 204.87 | Status: 선명
Time: 61.00s | Score: 174.99 | Status: 선명
Time: 61.50s | Score: 133.75 | Status: 선명
Time: 62.00s | Score: 137.13 | Status: 선명
Time: 62.50s | Score: 143.02 | Status: 선명
Time: 63.00s | Score: 138.32 | Status: 선명
Time: 63.50s | Score: 123.12 | Status: 선명
Time: 64.00s | Score: 158.13 | Status: 선명
Time: 64.50s | Score: 141.41 | Status: 선명
Time: 65.00s | Score: 129.18 | Status: 선명
Time: 65.50s | Score: 185.25 | Status: 선명
Time: 66.00s | Score: 110.11 | Status: 선명
Time: 66.50s | Score: 136.27 | Status: 선명
Time: 67.00s | Score: 97.56 | Status: 선명
Time: 67.50s | Score: 162.38 | Status: 선명
Time: 68.00s | Score: 129.33 | Status: 선명
Time: 68.50s | Score: 130.11 | Status: 선명
Time: 69.00s | Score: 138.72 | Status: 선명
Time: 69.50s | Score: 157.38 | Status: 선명
Time: 70.00s | Score: 245.14 | Status: 선명
Time: 70.50s | Score: 238.63 | Status: 선명
Time: 71.00s | Score: 278.39 | Status: 선명
Time: 71.50s | Score: 286.87 | Status: 선명
Time: 72.00s | Score: 283.74 | Status: 선명
Time: 72.50s | Score: 246.43 | Status: 선명
Time: 73.00s | Score: 260.90 | Status: 선명
Time: 73.50s | Score: 254.15 | Status: 선명
Time: 74.00s | Score: 264.93 | Status: 선명
Time: 74.50s | Score: 260.68 | Status: 선명
Time: 75.00s | Score: 266.44 | Status: 선명
Time: 75.50s | Score: 294.69 | Status: 선명
Time: 76.00s | Score: 183.31 | Status: 선명
Time: 76.50s | Score: 240.40 | Status: 선명
Time: 77.00s | Score: 264.34 | Status: 선명
Time: 77.50s | Score: 278.68 | Status: 선명
Time: 78.00s | Score: 302.86 | Status: 선명
Time: 78.50s | Score: 260.08 | Status: 선명
Time: 79.00s | Score: 255.79 | Status: 선명
Time: 79.50s | Score: 262.84 | Status: 선명
Time: 80.00s | Score: 271.20 | Status: 선명
Time: 80.50s | Score: 288.99 | Status: 선명
Time: 81.00s | Score: 292.08 | Status: 선명
Time: 81.50s | Score: 195.87 | Status: 선명
Time: 82.00s | Score: 211.10 | Status: 선명
Time: 82.50s | Score: 212.78 | Status: 선명
Time: 83.00s | Score: 154.73 | Status: 선명
Time: 83.50s | Score: 211.64 | Status: 선명
Time: 84.00s | Score: 183.10 | Status: 선명
Time: 84.50s | Score: 187.93 | Status: 선명
Time: 85.00s | Score: 206.04 | Status: 선명
Time: 85.50s | Score: 206.40 | Status: 선명
Time: 86.00s | Score: 210.59 | Status: 선명
Time: 86.50s | Score: 209.90 | Status: 선명
Time: 87.00s | Score: 185.91 | Status: 선명
Time: 87.50s | Score: 177.70 | Status: 선명
Time: 88.00s | Score: 151.27 | Status: 선명
Time: 88.50s | Score: 127.49 | Status: 선명
Time: 89.00s | Score: 186.89 | Status: 선명
Time: 89.50s | Score: 246.85 | Status: 선명
Time: 90.00s | Score: 234.85 | Status: 선명
Time: 90.50s | Score: 245.13 | Status: 선명
Time: 91.00s | Score: 249.45 | Status: 선명
Time: 91.50s | Score: 250.97 | Status: 선명
Time: 92.00s | Score: 234.77 | Status: 선명
Time: 92.50s | Score: 235.41 | Status: 선명
Time: 93.00s | Score: 169.53 | Status: 선명
Time: 93.50s | Status: 미검출
Time: 94.00s | Score: 172.53 | Status: 선명
Time: 94.50s | Score: 161.48 | Status: 선명
Time: 95.00s | Score: 178.23 | Status: 선명
Time: 95.50s | Score: 194.88 | Status: 선명
Time: 96.00s | Score: 102.75 | Status: 선명
Time: 96.50s | Score: 258.18 | Status: 선명
Time: 97.00s | Score: 327.41 | Status: 선명
Time: 97.50s | Score: 196.18 | Status: 선명
Time: 98.00s | Score: 243.13 | Status: 선명
Time: 98.50s | Score: 84.82 | Status: 선명
Time: 99.00s | Score: 133.91 | Status: 선명
Time: 99.50s | Score: 120.63 | Status: 선명
Time: 100.00s | Score: 336.18 | Status: 선명
Time: 100.50s | Score: 350.98 | Status: 선명
Time: 101.00s | Score: 186.89 | Status: 선명
Time: 101.50s | Score: 168.48 | Status: 선명
Time: 102.00s | Score: 176.31 | Status: 선명
Time: 102.50s | Score: 172.45 | Status: 선명
Time: 103.00s | Score: 168.91 | Status: 선명
Time: 103.50s | Score: 358.64 | Status: 선명
Time: 104.00s | Score: 353.08 | Status: 선명
Time: 104.50s | Score: 394.74 | Status: 선명
Time: 105.00s | Score: 349.03 | Status: 선명
Time: 105.50s | Score: 138.26 | Status: 선명
Time: 106.00s | Score: 172.89 | Status: 선명
Time: 106.50s | Score: 174.89 | Status: 선명
Time: 107.00s | Score: 145.80 | Status: 선명
Time: 107.50s | Score: 175.89 | Status: 선명
Time: 108.00s | Score: 245.64 | Status: 선명
Time: 108.50s | Score: 253.82 | Status: 선명
Time: 109.00s | Score: 214.30 | Status: 선명
Time: 109.50s | Score: 226.62 | Status: 선명
Time: 110.00s | Score: 208.88 | Status: 선명
Time: 110.50s | Score: 252.03 | Status: 선명
Time: 111.00s | Score: 229.10 | Status: 선명
Time: 111.50s | Score: 196.50 | Status: 선명
Time: 112.00s | Score: 216.32 | Status: 선명
Time: 112.50s | Status: 미검출
Time: 113.00s | Score: 269.10 | Status: 선명
Time: 113.50s | Status: 미검출
Time: 114.00s | Status: 미검출
Time: 114.50s | Score: 327.80 | Status: 선명
Time: 115.00s | Score: 268.22 | Status: 선명
Time: 115.50s | Score: 357.88 | Status: 선명
Time: 116.00s | Score: 318.01 | Status: 선명
Time: 116.50s | Score: 314.59 | Status: 선명
Time: 117.00s | Score: 304.62 | Status: 선명
Time: 117.50s | Status: 미검출
Time: 118.00s | Score: 294.35 | Status: 선명
Time: 118.50s | Status: 미검출
Time: 119.00s | Score: 85.36 | Status: 선명
Time: 119.50s | Score: 44.80 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 120.00s | Score: 169.90 | Status: 선명
Time: 120.50s | Score: 273.69 | Status: 선명
Time: 121.00s | Score: 300.27 | Status: 선명
Time: 121.50s | Score: 204.40 | Status: 선명
Time: 122.00s | Score: 122.76 | Status: 선명
Time: 122.50s | Score: 82.22 | Status: 선명
Time: 123.00s | Score: 193.92 | Status: 선명
Time: 123.50s | Score: 204.20 | Status: 선명
Time: 124.00s | Status: 미검출
Time: 124.50s | Status: 미검출
Time: 125.00s | Status: 미검출
Time: 125.50s | Score: 137.32 | Status: 선명
Time: 126.00s | Score: 100.04 | Status: 선명
Time: 126.50s | Score: 81.90 | Status: 선명
Time: 127.00s | Score: 111.30 | Status: 선명
Time: 127.50s | Score: 111.94 | Status: 선명
Time: 128.00s | Score: 221.57 | Status: 선명
Time: 128.50s | Score: 328.82 | Status: 선명
Time: 129.00s | Score: 287.05 | Status: 선명
Time: 129.50s | Score: 373.81 | Status: 선명
Time: 130.00s | Score: 129.64 | Status: 선명
Time: 130.50s | Status: 미검출
Time: 131.00s | Status: 미검출
Time: 131.50s | Status: 미검출
Time: 132.00s | Score: 45.50 | Status: 흐림 (문제 감지: 미검출 → 흐림)
Time: 132.50s | Score: 116.68 | Status: 선명
Time: 133.00s | Score: 131.33 | Status: 선명
Time: 133.50s | Status: 미검출
Time: 134.00s | Score: 138.51 | Status: 선명
Time: 134.50s | Score: 183.13 | Status: 선명
Time: 135.00s | Score: 210.84 | Status: 선명
Time: 135.50s | Score: 221.75 | Status: 선명
Time: 136.00s | Status: 미검출
Time: 136.50s | Status: 미검출
Time: 137.00s | Score: 141.29 | Status: 선명
Time: 137.50s | Score: 139.85 | Status: 선명
Time: 138.00s | Score: 407.25 | Status: 선명
Time: 138.50s | Score: 278.44 | Status: 선명
Time: 139.00s | Score: 299.67 | Status: 선명
Time: 139.50s | Status: 미검출
Time: 140.00s | Status: 미검출
Time: 140.50s | Status: 미검출
